Ascomycota	Basidiomycota	Chytridiomycota	Cryptomycota	Microsporidia	Mucoromycota	Zoopagomycota	B_A_ratio
SRR15372865	71.89	14.85	1.57	0.02	7.94	3.3	0.43	0.206565586312422
SRR15372866	71.58	11.96	1.44	0.05	10.28	4.58	0.11	0.167085778150321
SRR15372867	75.02	15.95	1.62	0	4.19	3.07	0.15	0.212609970674487
SRR15372868	80.08	9.7	1.35	0.06	5.72	2.86	0.23	0.121128871128871
SRR15372869	74.9	13.99	0.73	0.03	6.27	3.48	0.6	0.186782376502003
SRR15372870	74.57	13.77	1.37	0.03	7.1	2.91	0.25	0.184658709936972
SRR15372871	75.21	12.57	1.65	0.03	6.01	4.19	0.34	0.167132030315118
SRR15372872	73.14	15.41	1.65	0.05	5.64	3.96	0.15	0.210691823899371
SRR15372873	74.37	16.01	1.2	0.02	4.16	3.58	0.66	0.215274976469006
SRR15372874	76.2	14.53	1.15	0	5.74	2.17	0.21	0.190682414698163
SRR15372875	75.81	12.47	1.92	0.08	5.22	4.38	0.12	0.164490172800422
SRR15372876	74	13.83	1.41	0.02	6.6	4.04	0.1	0.186891891891892
SRR15372877	77.7	11.74	2.06	0.09	5.23	2.96	0.22	0.151093951093951
SRR15372878	73.82	13.52	1.8	0.12	5.33	5.2	0.21	0.183148198320238
SRR15372879	72.41	13	1.56	0.05	8.49	4.2	0.29	0.179533213644524
SRR15372880	74.34	13.03	0.88	0.01	6.96	4.43	0.35	0.175275760021523
SRR15372881	73.27	13.09	2.3	0	7.06	4.06	0.22	0.178654292343387
SRR15372882	70.98	16.63	0.88	0.03	8.57	2.33	0.58	0.234291349675965
SRR15372883	69.34	13.07	0.55	0.01	11.73	4.7	0.6	0.188491491202769
SRR15372884	72.54	16.72	1.28	0.03	4.8	4.23	0.4	0.230493520816101
SRR15372885	80.8	9.82	2.19	0.06	3.2	3.88	0.05	0.121534653465347
SRR15372886	75.11	12.3	1.48	0.03	4.47	6.14	0.47	0.163759818932233
SRR15372887	69.95	12.45	1.33	0.02	12.32	3.52	0.41	0.177984274481773
SRR15372888	70.14	16.56	1.73	0.03	7.12	4.1	0.32	0.236099230111206
SRR15372889	79.09	10.41	2.49	0.08	2.89	4.97	0.07	0.131622202554052
SRR15372890	75.91	14.25	2.11	0.09	3.59	3.86	0.19	0.187722302726913
SRR15372891	73.71	12.07	1.76	0.02	7.53	4.73	0.18	0.163749830416497
SRR15372892	73.94	14.15	1.83	0.07	5.6	4.18	0.23	0.191371382201785
SRR15372893	67.81	16.86	1.05	0.03	8.13	5.65	0.47	0.248635894410854
SRR15372894	71.77	12.66	1.46	0.05	9.76	4.15	0.15	0.176396823185175
SRR15372895	68.99	10.8	2.64	0.21	12.59	4.75	0.02	0.156544426728511
SRR15372896	75.04	12.64	1.87	0.08	6.73	3.53	0.11	0.168443496801706
SRR15372897	74.08	14.87	1.85	0.01	5.57	3.52	0.1	0.200728941684665
SRR15372898	69.25	16.04	1.5	0.04	8.39	4.64	0.14	0.231624548736462
SRR15372899	72.57	12.68	2.48	0.03	7.39	4.48	0.37	0.174727848973405
SRR15372900	73.43	16.65	1.45	0.08	4.82	3.25	0.32	0.226746561350947
SRR15372901	72.8	13.83	2.46	0.03	6.87	3.88	0.13	0.189972527472527
SRR15372902	77.77	11.63	1.02	0.07	5.07	4.38	0.06	0.14954352578115
SRR15372903	69.78	13.68	2.19	0.09	9.93	4.19	0.14	0.196044711951849
SRR15372904	73.81	17.8	1.35	0.02	3.65	2.99	0.38	0.241159734453326
SRR15372905	72.49	16.13	1.16	0.1	6.64	3.2	0.28	0.222513450131053
SRR15372906	73.53	14.08	1.81	0.05	5.63	4.57	0.33	0.191486468108255
SRR15372907	75.22	13.57	2.08	0.06	4.48	4.3	0.29	0.180404147833023
SRR15372908	76.26	14.02	1.17	0.1	5.7	2.32	0.43	0.183844741673223
