"","KO_id","fc","Clust1_z_score_mean","Clust2_z_score_mean","Clust1_zscore_median","Clust2_zscore_median","p.val","p.adj","cohen.d","Level1","Level2","Level3","EC_num"
"1","K00001",0.916066132732775,6.2396307538674e-06,6.81133220726496e-06,3.27076e-06,1.34219e-06,0.000189538695821349,0.000711874453721462,-0.0356417085283928,"Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
"2","K00003",1.59250234962291,4.49794754447514e-05,2.82445268952991e-05,4.27168e-05,2.287485e-05,2.73944001474353e-18,1.33908366637848e-16,0.667162968282441,"Metabolism","Amino acid metabolism","Glycine, serine and threonine metabolism [PATH:ko00260]","hom; homoserine dehydrogenase [EC:1.1.1.3]"
"3","K00006",0,0,2.85380636752137e-08,0,0,0.0126979181699439,0.0269313227219273,-0.0693933360446106,"Metabolism","Lipid metabolism","Glycerophospholipid metabolism [PATH:ko00564]","GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]"
"4","K00008",1.54663427745656,3.01203284530387e-05,1.94747581196581e-05,2.283625e-05,1.55262e-05,1.38872506779411e-07,1.17906040956291e-06,0.555215135640719,"Metabolism","Carbohydrate metabolism","Pentose and glucuronate interconversions [PATH:ko00040]","SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]"
"5","K00009",0.636282636126509,6.81197511961326e-06,1.07058950423077e-05,3.348845e-06,4.62089e-06,0.0215861193636378,0.0441284167441256,-0.22969661479663,"Metabolism","Carbohydrate metabolism","Fructose and mannose metabolism [PATH:ko00051]","mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]"
"6","K00012",0.727129851334833,4.59600807734807e-05,6.32075284615385e-05,4.40109e-05,5.64129e-05,1.6682565247096e-07,1.39206738895213e-06,-0.433232547516661,"Metabolism","Carbohydrate metabolism","Pentose and glucuronate interconversions [PATH:ko00040]","UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]"
"7","K00016",1.36925531527927,2.58587835082873e-05,1.88852898504274e-05,1.666565e-05,1.135445e-05,6.89271538367236e-08,6.35499127059346e-07,0.255540343236546,"Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]"
"8","K00019",0.396179733924409,1.7958079558011e-07,4.53281125213675e-07,0,0,0.0103053783382376,0.0244774958171884,-0.103398878047859,"Metabolism","Carbohydrate metabolism","Butanoate metabolism [PATH:ko00650]","BDH, bdhA; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]"
"9","K00021",0.899100749955397,8.3914456878453e-07,9.33315391880342e-07,0,0,1.60122562767674e-05,7.79017957022236e-05,-0.0164580017715953,"Metabolism","Metabolism of terpenoids and polyketides","Terpenoid backbone biosynthesis [PATH:ko00900]","HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]"
"10","K00024",0.676251941444694,8.77772462375691e-05,0.000129799621794872,8.644115e-05,0.000136625,1.76572304602814e-14,4.83001261034388e-13,-0.621370535901143,"Metabolism","Carbohydrate metabolism","Citrate cycle (TCA cycle) [PATH:ko00020]","mdh; malate dehydrogenase [EC:1.1.1.37]"
"11","K00026",0,0,1.16792682478632e-07,0,0,0.00222768397750173,0.00638103236412683,-0.066447768690859,"Metabolism","Carbohydrate metabolism","Citrate cycle (TCA cycle) [PATH:ko00020]","MDH2; malate dehydrogenase [EC:1.1.1.37]"
"12","K00027",1.21845361885212,2.53720631298343e-05,2.08231669529915e-05,2.31374e-05,1.62625e-05,2.93678171814341e-06,1.76698862152824e-05,0.252737318243955,"Metabolism","Carbohydrate metabolism","Pyruvate metabolism [PATH:ko00620]","ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]"
"13","K00029",0.601483206574509,5.83910003314917e-06,9.70783551282051e-06,3.69717e-06,5.073325e-06,0.00106852244793854,0.00337344294086315,-0.274185834969252,"Metabolism","Carbohydrate metabolism","Pyruvate metabolism [PATH:ko00620]","E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
"14","K00033",0.782571647810943,1.76027646491713e-05,2.24934863132479e-05,1.484215e-05,1.73633e-05,0.0232174609197363,0.0472412425265866,-0.24963317827106,"Metabolism","Carbohydrate metabolism","Pentose phosphate pathway [PATH:ko00030]","PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
"15","K00036",0.615160008096851,2.30946952944751e-05,3.75425824021368e-05,2.09617e-05,3.211175e-05,1.39531202087639e-12,2.85313678328214e-11,-0.565569953576967,"Metabolism","Carbohydrate metabolism","Pentose phosphate pathway [PATH:ko00030]","G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
"16","K00040",1.55885026947491,1.99063461132597e-05,1.27698897726496e-05,1.80912e-05,9.393465e-06,1.70662947221458e-13,3.94915015965395e-12,0.554212490910607,"Metabolism","Carbohydrate metabolism","Pentose and glucuronate interconversions [PATH:ko00040]","uxuB; fructuronate reductase [EC:1.1.1.57]"
"17","K00045",0.440346744403552,2.55291394281768e-06,5.79750838461538e-06,9.440915e-07,1.696695e-06,0.000662850258724818,0.00221423614529952,-0.299340527156598,"Metabolism","Carbohydrate metabolism","Fructose and mannose metabolism [PATH:ko00051]","E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]"
"18","K00048",1.23847878375989,4.85721525939227e-05,3.92192044230769e-05,4.785995e-05,3.65142e-05,1.74937593972883e-06,1.12903083110155e-05,0.387030879696887,"Metabolism","Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","fucO; lactaldehyde reductase [EC:1.1.1.77]"
"19","K00052",0.934257535093178,0.000100661247734807,0.000107744646367521,0.000100612,0.000113372,0.0053988475399133,0.0133532573434802,-0.17522212958979,"Metabolism","Carbohydrate metabolism","C5-Branched dibasic acid metabolism [PATH:ko00660]","leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
"20","K00053",0.936511016024631,0.000107259107458564,0.00011453053474359,0.000106566,0.0001190235,0.00548865827002127,0.0135662250039204,-0.166316234490293,"Metabolism","Amino acid metabolism","Valine, leucine and isoleucine biosynthesis [PATH:ko00290]","ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]"
"21","K00058",1.21738275970656,5.96095301381215e-05,4.89653148632479e-05,5.351385e-05,4.188365e-05,1.89778175630429e-07,1.55745500180584e-06,0.308669318179739,"Metabolism","Energy metabolism","Methane metabolism [PATH:ko00680]","serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]"
"22","K00059",1.14137837066276,0.000125405412154696,0.000109871901709402,0.0001157005,0.00011054,0.00737999169696903,0.0178996216701882,0.300400875739848,"Metabolism","Lipid metabolism","Fatty acid biosynthesis [PATH:ko00061]","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
"23","K00060",0.421466936041272,5.26820699226519e-06,1.24996922457265e-05,1.42532e-06,3.28668e-06,6.38755277971539e-05,0.000266233973326079,-0.307798498374871,"Metabolism","Amino acid metabolism","Glycine, serine and threonine metabolism [PATH:ko00260]","tdh; threonine 3-dehydrogenase [EC:1.1.1.103]"
"24","K00067",1.15123605241248,5.25999514917127e-05,4.56899793760684e-05,4.957875e-05,3.832055e-05,0.000121933560983367,0.000477163973132919,0.20441528700109,"Metabolism","Glycan biosynthesis and metabolism","O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]","rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]"
"25","K00073",0.637470854916126,9.27159504972376e-07,1.45443434444444e-06,8.65974e-08,2.330795e-07,0.00285245047964918,0.00799595975988526,-0.149113172722077,"Metabolism","Nucleotide metabolism","Purine metabolism [PATH:ko00230]","allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]"
"26","K00074",1.73975125316925,3.82683016022099e-05,2.19964213461538e-05,3.50237e-05,1.81131e-05,5.7865166883469e-26,1.54201336653012e-23,0.913340680302657,"Metabolism","Carbohydrate metabolism","Butanoate metabolism [PATH:ko00650]","paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]"
"27","K00088",1.09368866386444,5.58657039779006e-05,5.10800795726496e-05,5.556125e-05,4.317135e-05,7.35578581250006e-05,0.000301120647160867,0.146427072479061,"Metabolism","Nucleotide metabolism","Purine metabolism [PATH:ko00230]","IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]"
"28","K00090",0.36559821448349,2.67565950276243e-06,7.31857924017094e-06,3.26583e-07,1.343965e-06,1.14764025270383e-07,1.00218352300067e-06,-0.314649355066832,"Metabolism","Carbohydrate metabolism","Pentose phosphate pathway [PATH:ko00030]","ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]"
"29","K00096",1.76778669560461,1.36989323223757e-05,7.74919980811966e-06,1.002235e-05,4.54954e-06,2.2724186399314e-17,1.01472704780937e-15,0.508592188382135,"Metabolism","Lipid metabolism","Glycerophospholipid metabolism [PATH:ko00564]","araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]"
"30","K00097",0.734465869847511,3.99840931464088e-05,5.44396884700855e-05,3.76028e-05,4.934725e-05,1.89280618436209e-07,1.55586784965326e-06,-0.425741076351269,"Metabolism","Metabolism of cofactors and vitamins","Vitamin B6 metabolism [PATH:ko00750]","pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]"
"31","K00101",0.353591343730339,2.26745794198895e-06,6.41265116410256e-06,2.5538e-07,1.24231e-06,5.46894537115955e-08,5.16921712942208e-07,-0.310462439119589,"Metabolism","Carbohydrate metabolism","Pyruvate metabolism [PATH:ko00620]","lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]"
"32","K00104",0.988239830399223,1.18033302320442e-05,1.1943791242735e-05,6.534355e-06,5.188045e-06,0.0110813149262628,0.0261478919091798,-0.00741887435866355,"Metabolism","Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","glcD; glycolate oxidase [EC:1.1.3.15]"
"33","K00108",0.41574183754592,1.49480397375691e-06,3.59551009487179e-06,1.358565e-07,4.930075e-07,7.32299734586251e-05,0.000300224719971068,-0.251510005074198,"Metabolism","Amino acid metabolism","Glycine, serine and threonine metabolism [PATH:ko00260]","betA, CHDH; choline dehydrogenase [EC:1.1.99.1]"
"34","K00112",0.626392775090639,2.62675610524862e-06,4.19346488290598e-06,1.41744e-06,1.754585e-06,0.00522474630405759,0.0131075913314918,-0.210165378111653,"Metabolism","Lipid metabolism","Glycerophospholipid metabolism [PATH:ko00564]","glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]"
"35","K00113",0.593387301224304,2.57468205662983e-06,4.33895712179487e-06,1.226785e-06,1.727505e-06,0.00342219122345071,0.00945825416424434,-0.207143669756084,"Metabolism","Lipid metabolism","Glycerophospholipid metabolism [PATH:ko00564]","glpC; glycerol-3-phosphate dehydrogenase subunit C"
"36","K00116",0.463480773445678,2.11694296740331e-06,4.56748820811966e-06,2.444415e-07,7.22369e-07,0.000799277055704068,0.00262746826787557,-0.241592578453455,"Metabolism","Carbohydrate metabolism","Citrate cycle (TCA cycle) [PATH:ko00020]","mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]"
"37","K00117",0.347026714923726,5.97132121077348e-07,1.72070937307692e-06,5.810345e-08,2.184955e-07,4.23064400878047e-05,0.000184040811777438,-0.240855332218412,"Metabolism","Carbohydrate metabolism","Pentose phosphate pathway [PATH:ko00030]","gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]"
"38","K00121",0.257437458458276,1.5938387698895e-06,6.19116883547009e-06,2.063845e-07,1.205355e-06,6.79326332320426e-09,7.81603736949727e-08,-0.207505220825745,"Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
"39","K00123",0.384719786530828,4.04812665e-06,1.05222730717949e-05,1.477355e-06,2.63748e-06,0.000200734829567263,0.000748316979718033,-0.270158585139723,"Metabolism","Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]"
"40","K00125",1.18931343939475,9.75052879005525e-07,8.1984517008547e-07,0,0,7.87116590762482e-06,4.21137963490211e-05,0.0312657702691282,"Metabolism","Energy metabolism","Methane metabolism [PATH:ko00680]","fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]"
"41","K00127",0.537328341322465,2.40164374751381e-06,4.4696018482906e-06,6.095645e-07,1.33905e-06,0.000339875765135327,0.00121283528975505,-0.263762648270247,"Metabolism","Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","fdoI, fdsG; formate dehydrogenase subunit gamma"
"42","K00128",1.75208119193742,8.6126081878453e-06,4.91564445042735e-06,6.460745e-06,2.54329e-06,1.17325737058983e-15,3.87691165537702e-14,0.556484699793878,"Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]"
"43","K00130",0.364218405410047,2.24536240110497e-06,6.16487900598291e-06,2.32397e-07,9.625125e-07,4.06441770749932e-08,3.97821737934264e-07,-0.329161276298941,"Metabolism","Amino acid metabolism","Glycine, serine and threonine metabolism [PATH:ko00260]","betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]"
"44","K00133",1.0890889148256,6.59482826243094e-05,6.05536258119658e-05,6.418085e-05,5.748795e-05,0.00771406426695636,0.0186387496078755,0.184140123010295,"Metabolism","Amino acid metabolism","Glycine, serine and threonine metabolism [PATH:ko00260]","asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]"
"45","K00134",1.0921198883867,6.89260896132597e-05,6.31122007264957e-05,6.839595e-05,5.63473e-05,0.00012072887331061,0.000472897687254126,0.156936430300572,"Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
"46","K00135",0.277436347049213,2.26133580441989e-06,8.15082749059829e-06,3.427745e-07,1.27496e-06,3.29907746330389e-07,2.53758649202546e-06,-0.309483610408494,"Metabolism","Carbohydrate metabolism","Butanoate metabolism [PATH:ko00650]","gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]"
"47","K00137",0.31717110106155,1.23385480022099e-06,3.89018670393162e-06,1.05783e-07,5.146495e-07,3.16533856260843e-07,2.45301040219591e-06,-0.325261239036672,"Metabolism","Amino acid metabolism","Lysine degradation [PATH:ko00310]","prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]"
"48","K00138",0.564456874576265,1.90116859917127e-06,3.36813791239316e-06,1.71815e-07,5.193635e-07,0.00233032687006152,0.00664738614419137,-0.188651244329346,"Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","aldB; aldehyde dehydrogenase [EC:1.2.1.-]"
"49","K00143",0,0,5.78085606837607e-09,0,0,0.00528682899364855,0.0131075913314918,-0.0699390362981865,"Metabolism","Amino acid metabolism","Lysine biosynthesis [PATH:ko00300]","LYS2; L-2-aminoadipate reductase [EC:1.2.1.95]"
