Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Atribacterota	Bacteroidetes	Balneolaeota	Caldiserica	Calditrichaeota	Candidatus_Absconditabacteria	Candidatus_Bipolaricaulota	Candidatus_Cloacimonetes	Candidatus_Omnitrophica	Candidatus_Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thermodesulfobacteria	Thermotogae	Unassigned	Verrucomicrobia	F_B_ratio
SRR15372865	0.00900817910646722	3.36157885001789	0.00117877626433577	0.001469832132073	0.000145527933868614	56.3339068589207	0.000829509223051101	1.45527933868614e-05	0.000334714247897813	1.45527933868614e-05	0.000116422347094891	0.000291055867737228	0.000174633520642337	0.0301824934843506	0.00050934776854015	0.00539908634652559	0.0106817503459563	0.000538453355313872	1.45527933868614e-05	0.0260058417823214	0.000858614809824824	0.0151785635024965	0.00010186955370803	0.000596664528861318	0.00154259609900731	29.3075213347589	0.011656787502876	0.00192096872706571	0.00030560866112409	0.00253218604931389	0.00250308046254016	0.0202429356011242	2.18024129404603	0.0288290836993725	0.0242304009891243	0.00685436568521173	0.000654875702408764	0.0026777139831825	4.36583801605843e-05	8.6091124062127	0.520246561420903
SRR15372866	0.00327483482480036	0.310465832039582	0.000609004370927786	0.000459625940322857	4.59625940322857e-05	75.9771906030855	0.000137887782096857	5.74532425403572e-05	0.000126397133588786	0	1.14906485080714e-05	4.59625940322857e-05	4.59625940322857e-05	0.000965214474678	0.000850307989597286	0.00251645202326764	0.00444688097262365	0.000126397133588786	1.14906485080714e-05	0.0129269795715804	0.000459625940322857	0.00504439469504336	0	0.000275775564193714	0.000540060479879357	22.2220409253235	0.00544656739282586	0.000367700752258286	0.000597513722419715	0.000367700752258286	0.000792854747056929	0.00625091278839086	1.40707587240738	0.0190055326323502	0.00476861913084965	0.00348166649794564	0.000298756861209857	0.00230962035012236	0	0.00656116029810879	0.29248305641379
SRR15372867	0.00723594736832685	8.45070440541351	0.00122729849356781	0.000345177701315945	0.000102274874463984	66.0533839048496	0.000115059233771982	1.2784359307998e-05	0.000204549748927968	5.11374372319919e-05	0	5.11374372319919e-05	0.000153412311695976	0.000204549748927968	0.000830983355019868	0.00301710879668752	0.00496033141150321	0.000217334108235966	1.2784359307998e-05	0.018716302026909	0.000639217965399899	0.00891069843767459	0.000115059233771982	0.00019176538961997	0.00185373209965971	23.0674970704641	0.00242902826851961	0.00271028417329557	0.000230118467543963	0.000588080528167907	0.0012656515714918	0.0143184824249577	2.26155316158484	0.0145997383297337	0.00460236935087927	0.00182816338104371	0.000166196671003974	0.0031449523897675	0	0.0718097462330246	0.349225061712099
SRR15372868	0.00800093868753472	2.79318125858783	0.00115494721640146	0.000384982405467152	0.000267813847281497	45.6240472731613	0.000418459136377339	3.34767309101871e-05	0.00102104029276071	0.000217598750916216	0.000100430192730561	0.000167383654550936	0.000334767309101871	0.00269487683827006	0.00296269068555156	0.00639405560384574	0.008586781478463	0.00112147048549127	1.67383654550936e-05	0.0278191633863655	0.00174079000732973	0.0102773563894274	0.000117168558185655	0.000803441541844491	0.00179100510369501	37.7627400302529	0.0130726634204281	0.00123863904367692	0.000954086830940333	0.00304638251282703	0.00309659760919231	0.0226302700952865	13.5359144227632	0.029158232622773	0.0112983966821882	0.00567430588927672	0.000619319521838462	0.00420132972922848	0	0.112699414609145	0.827693777453786
SRR15372869	0.0139711906973799	2.52615044354993	0.00353701030313416	0.00178619020308275	0.000176850515156708	44.5983928178884	0.000672031957595491	3.53701030313416e-05	0.000601291751532808	5.30551545470124e-05	0.000371386081829087	0.000194535566672379	0.000495181442438783	0.00373154586980654	0.00141480412125366	0.00905474637602346	0.0174020906914201	0.000689717009111162	5.30551545470124e-05	0.041153114876966	0.00261738762431928	0.0219648339824631	0.000389071133344758	0.00132637886367531	0.00290034844857001	47.6244996677863	0.0167477437853403	0.00332478968494611	0.00137943401822232	0.00267044277886629	0.00302414380917971	0.0359183396283274	4.95022276975142	0.0408170988981682	0.0239455597522183	0.0117075041033741	0.0011495283485186	0.00413830205466697	0.000300645875766404	0.0310195803584866	1.06785237446234
SRR15372870	0.00756360381813127	0.901572552929814	0.000902219143315857	0.000601479428877238	7.51849286096547e-05	68.865379731256	4.51109571657928e-05	0	0.000390961628770205	6.01479428877238e-05	4.51109571657928e-05	0.000120295885775448	0.000210517800107033	0.00541331485989514	0.00154880952935889	0.00396976423058977	0.00926278320470946	0.000676664357486893	1.50369857219309e-05	0.0283747920572837	0.00150369857219309	0.0163000925225731	0.000135332871497379	0.000330813685882481	0.00129318077208606	28.0315878951663	0.0056839806028899	0.00163903144369047	0.00048118354310179	0.00171421637230013	0.00174429034374399	0.0206758553676551	1.04755161031832	0.0191120088525742	0.0153978733792573	0.00421035600214067	0.000616516414599169	0.00261643551561598	0	1.00117754635188	0.407049057226699
SRR15372871	0.0030337334111878	0.451333178124351	0.000397680409706265	6.81737845210741e-05	2.2724594840358e-05	69.1372618931156	4.5449189680716e-05	0.000102260676781611	0.000170434461302685	9.08983793614321e-05	7.95360819412531e-05	2.2724594840358e-05	9.08983793614321e-05	0.00720369656439349	0.0009203460910345	0.00253379232469992	0.00422677464030659	0.000193159056143043	0	0.00983974956587502	0.00056811487100895	0.0052493814081227	4.5449189680716e-05	0.00034086892260537	0.00056811487100895	14.3608077093642	0.00418132545062588	0.000443129599386981	0.000443129599386981	0.000397680409706265	0.000522665681328234	0.00679465385726705	0.380875571821821	0.0117940647221458	0.00410178936868462	0.00355639909251603	0.000249970543243938	0.00155663474656452	4.5449189680716e-05	15.5998207938451	0.207714441042888
SRR15372872	0.0089636415438265	2.3113305318373	0.000725980885367766	0.000651901203187382	1.48159364360769e-05	50.9151137219425	0.000325950601593691	0.000370398410901922	0.000400030283774075	2.96318728721537e-05	0.000266686855849384	0.000222239046541153	0.000355582474465845	0.00318542633375653	0.00114082710557792	0.00471146778667244	0.00897845748026258	0.000770428694675997	4.44478093082306e-05	0.029868927855131	0.00111119523270576	0.0158826838594744	0.000177791237232922	0.00105193148696146	0.00118527491488615	29.6655939434822	0.00573376740076175	0.00151122551647984	0.000355582474465845	0.00200015141887038	0.00157048926222415	0.0220757452897545	0.993230746801721	0.0206830472647633	0.0145492495802275	0.00885992998877396	0.000740796821803843	0.00220757452897545	0	15.9540077774777	0.582648093560036
SRR15372873	0.0315997943919847	11.6420489572684	0.00349740514704741	0.00256147982600656	0.000197036909692812	45.2098480032649	0.00275851673569937	4.9259227423203e-05	0.00103444377588726	0.000147777682269609	0.0016255545049657	0.000123148068558008	0.00110833261702207	0.0245803544841783	0.00300481287281538	0.0245310952567551	0.0315751647782731	0.00738888411348045	0.000147777682269609	0.0837653162331567	0.00669925492955561	0.0501705231305323	0.000788147638771248	0.0032264793962198	0.00229055407517894	33.9103969727249	0.0190879506264912	0.0102951785314494	0.00364518282931702	0.0122655476283776	0.00630518111016999	0.0721155089475692	3.35346968451682	0.0696032883489859	0.132458062540993	0.0235212810945794	0.0016748137323889	0.0208859124274381	0.000123148068558008	5.22938421286094	0.750066599876116
SRR15372874	0.00212904744876384	3.60747480545479	0.000546268753301249	0.000364179168867499	0.000112055128882308	48.844214376589	0.000224110257764615	0	0.000154075802213173	0	0	9.80482377720191e-05	2.80137822205769e-05	0.000168082693323461	0.000616303208852691	0.00113455817993336	0.00191894408210952	0.000210103366654327	0	0.0107993130460324	0.000756372119955576	0.0030254884798223	0.000154075802213173	0.000252124039985192	0.000238117148874903	46.7232629108869	0.00665327327738701	8.40413466617306e-05	0.000280137822205769	0.00044822051552923	0.000686337664404134	0.00633111478185037	0.744578317640713	0.0204780748032417	0.00309552293537374	0.00491641877971124	0.00026613093109548	0.00219908190431529	2.80137822205769e-05	0.0120739401370686	0.956577222240703
