Observed	Chao1	se.chao1	ACE	se.ACE	Shannon	Simpson	InvSimpson	Fisher	Pielou	Coverage
SRR15372865	616	661.71875	13.7069584650785	650.932559704813	11.9633357614732	4.99014779446854	0.97171892	35.3593285687817	145.012133305502	0.776888670605214	0.9923
SRR15372866	535	574.275862068965	12.5503441676235	568.033787683012	11.3348554177225	4.7681058532874	0.96684762	30.163746916511	120.820937404053	0.758978573401593	0.9932
SRR15372867	527	603.392857142857	20.7960746354316	583.801845482936	11.5301966276109	4.85903817588163	0.9672206	30.5069647400502	118.501700437271	0.77531238042359	0.9907
SRR15372868	588	639.526315789474	14.3764311755662	634.334786157883	11.4481550993819	4.40317113773662	0.93210672	14.7289982160237	136.5048858714	0.690506457891793	0.9911
SRR15372869	595	635.678571428571	12.9805003187365	624.216547322909	11.6095947205329	4.85759568481721	0.96676494	30.0887075275327	138.617447155102	0.760358299225322	0.9932
SRR15372870	572	616.666666666667	14.2173564974222	602.433665640341	11.6940258543272	4.99050277377183	0.97335772	37.5343251403408	131.712026959731	0.786012525564083	0.9932
SRR15372871	524	551.596774193548	9.60246969117843	550.914618439192	11.0381902427978	4.92145643766423	0.97691862	43.3249658382644	117.635270576264	0.785987858130947	0.9941
SRR15372872	603	638.254237288136	11.5604528725573	630.213396760873	11.8685922865668	5.16662974232827	0.9795445	48.8866075138716	141.043454916786	0.807044137492058	0.9935
SRR15372873	598	644.88679245283	14.6015981596768	628.994050754436	11.7765238252898	5.13718771293202	0.97847068	46.4482854079924	139.525745088731	0.803490231175295	0.9929
SRR15372874	513	561.684210526316	14.7531140099355	556.675407719375	11.3752185244342	4.73545378276854	0.96707156	30.3688847695184	114.473735341296	0.758853278326344	0.9925
SRR15372875	533	584.35	15.1587539146218	577.756085391587	11.5041173830082	4.81972111229618	0.97348282	37.7114006843865	120.239935501383	0.767652252287492	0.9921
SRR15372876	564	596.603448275862	10.9691066443408	592.981091686424	11.6862051903603	5.01597531262815	0.97730708	44.0666075586571	129.334368799028	0.791780956168136	0.9938
SRR15372877	540	576.849056603774	12.2307674251173	568.227771094093	11.4250791476318	4.97098435728241	0.9740416	38.5231755424063	122.276914469907	0.790102476348433	0.9937
SRR15372878	546	575.5	10.137301832461	573.747350434688	11.4015125498834	4.89318609213665	0.9698991	33.2215980253082	124.030623152007	0.776373458552335	0.994
SRR15372879	599	622.6	8.28788058198493	624.465244131105	11.6253726434052	4.89836192601923	0.9683627	31.6082598704694	139.828899220812	0.765936131129128	0.994
SRR15372880	545	576.052631578947	10.6324679921267	572.475095933354	11.3863681506963	4.79621385751307	0.96597834	29.393039610648	123.737843869727	0.761208841851989	0.994
SRR15372881	586	630.842105263158	13.8848233150244	617.998468341806	11.4062302067136	4.93992907529537	0.9718311	35.5001437755823	135.903047890832	0.775095121285798	0.9928
SRR15372882	584	624.571428571429	12.6103608223893	616.448938032036	11.6682182362489	4.96863322470183	0.9723374	36.1498919118232	135.301989043069	0.780017340629959	0.9928
SRR15372883	469	522.181818181818	14.6676243491465	524.009884262577	10.3449308886972	4.35971337347444	0.96400816	27.7840755015581	102.071394542362	0.708827010555871	0.9909
SRR15372884	542	573.015384615385	10.3279036222964	573.985854271533	11.532870954169	4.97008485086425	0.9749235	39.8779734013917	122.860692511068	0.789495606655486	0.9936
SRR15372885	513	568.337837837838	15.2401702169307	567.180766328842	11.0258494077151	4.03879540146891	0.89828026	9.83093350415563	114.473735341296	0.647214242074644	0.9909
SRR15372886	525	565.08064516129	12.5448372336987	561.727565299736	11.2873031968923	4.84618285330616	0.97368144	37.995999781143	117.923881215024	0.773730593222878	0.9929
SRR15372887	579	633.6	16.2075516806238	618.026992950582	11.8944358629276	4.79656327788643	0.96377674	27.606571026462	133.802754023397	0.754022198252149	0.9922
SRR15372888	588	631.125	13.5483231242255	620.808934075637	11.9555125100967	5.08538760240716	0.97731804	44.0879006928854	136.5048858714	0.797491823620108	0.993
SRR15372889	428	487.303571428571	17.1656294178167	486.200998953787	10.744772781827	4.64273707186341	0.9748152	39.7064896286649	90.8716616538007	0.766239094667824	0.9918
SRR15372890	588	618.51724137931	10.4613167458663	612.982875066617	11.7631001649599	5.05240401723467	0.97577288	41.2760575751472	136.5048858714	0.792319329103409	0.994
