"","Var1","Var2","cor","p","direction","new_column"
"1","Aspergillus indologenus","Bacidia gigantensis",0.104489095309484,0,"1","fungi_fungi"
"2","Aspergillus indologenus","Cladophialophora psammophila",0.0975336770019399,0.02,"1","fungi_fungi"
"3","Aspergillus indologenus","Colletotrichum siamense",0.169753657193451,0,"1","fungi_fungi"
"4","Aspergillus indologenus","Fistulina hepatica",0.0887666796002957,0.01,"1","fungi_fungi"
"5","Aspergillus indologenus","Kalmanozyma brasiliensis",0.179312867375115,0,"1","fungi_fungi"
"6","Aspergillus indologenus","Kwoniella mangrovensis",0.162943395843615,0,"1","fungi_fungi"
"7","Aspergillus indologenus","Macroventuria anomochaeta",0.154474042142772,0,"1","fungi_fungi"
"8","Aspergillus indologenus","Malassezia pachydermatis",0.0897632614094626,0.02,"1","fungi_fungi"
"9","Nematocida displodere","Aspergillus indologenus",0.090079954561127,0.01,"1","fungi_fungi"
"10","Aspergillus indologenus","Sporothrix brasiliensis",-0.0888945880355974,0.01,"-1","fungi_fungi"
"11","Aspergillus indologenus","Tolypocladium paradoxum",0.0858226851560123,0.02,"1","fungi_fungi"
"12","Aspergillus indologenus","Verticillium longisporum",0.0861044934631763,0.02,"1","fungi_fungi"
"13","s__Acetivibrio_thermocellus","Aspergillus indologenus",-0.133304957918368,0,"-1","Bacter_fungi"
"14","s__Bacillus_amyloliquefaciens","Aspergillus indologenus",-0.103568683524238,0.02,"-1","Bacter_fungi"
"15","s__Coprococcus_sp._ART55","Aspergillus indologenus",-0.0964305997334887,0,"-1","Bacter_fungi"
"16","s__Eubacterium_sp._c-25","Aspergillus indologenus",-0.101822340234646,0.01,"-1","Bacter_fungi"
"17","s__Faecalibacterium_duncaniae","Aspergillus indologenus",0.186627141575118,0,"1","Bacter_fungi"
"18","s__Faecalibacterium_prausnitzii","Aspergillus indologenus",0.204286544677673,0,"1","Bacter_fungi"
"19","s__Faecalitalea_cylindroides","Aspergillus indologenus",-0.163525839075368,0,"-1","Bacter_fungi"
"20","s__Lachnospira_eligens","Aspergillus indologenus",-0.0902886542746945,0.03,"-1","Bacter_fungi"
"21","s__Mageeibacillus_indolicus","Aspergillus indologenus",-0.101240006020535,0,"-1","Bacter_fungi"
"22","s__Olsenella_timonensis","Aspergillus indologenus",-0.131246902033806,0,"-1","Bacter_fungi"
"23","s__Paenibacillus_larvae","Aspergillus indologenus",-0.179196462928559,0,"-1","Bacter_fungi"
"24","s__Ruminococcus_albus","Aspergillus indologenus",-0.155345131331593,0,"-1","Bacter_fungi"
"25","s__Ruminococcus_bovis","Aspergillus indologenus",-0.102579817777845,0.01,"-1","Bacter_fungi"
"26","s__Ruminococcus_champanellensis","Aspergillus indologenus",-0.135135971310403,0,"-1","Bacter_fungi"
"27","s__Starkeya_novella","Aspergillus indologenus",-0.110034364043195,0.01,"-1","Bacter_fungi"
"28","s__Vescimonas_fastidiosa","Aspergillus indologenus",-0.101657989575777,0.01,"-1","Bacter_fungi"
"29","Botryobasidium botryosum","Bacidia gigantensis",0.08362303217221,0.04,"1","fungi_fungi"
"30","Colletotrichum siamense","Bacidia gigantensis",0.201170917568754,0,"1","fungi_fungi"
"31","Bacidia gigantensis","Diaporthe batatas",0.115634416803572,0.01,"1","fungi_fungi"
"32","Bacidia gigantensis","Diaporthe helianthi",0.153693832827792,0,"1","fungi_fungi"
"33","Bacidia gigantensis","Enterocytozoon bieneusi",0.245477810292089,0,"1","fungi_fungi"
"34","Exophiala sideris","Bacidia gigantensis",0.0830843246103931,0.02,"1","fungi_fungi"
"35","Fistulina hepatica","Bacidia gigantensis",0.148216917556352,0,"1","fungi_fungi"
"36","Fusarium oxysporum","Bacidia gigantensis",0.147414600487128,0,"1","fungi_fungi"
"37","Hypoxylon sp. CO27-5","Bacidia gigantensis",0.127232187004717,0,"1","fungi_fungi"
"38","Bacidia gigantensis","Kalmanozyma brasiliensis",0.115727025343795,0.01,"1","fungi_fungi"
