"","Var1","Var2","cor","p","direction","new_column"
"1","Aspergillus indologenus","Calocera viscosa",0.119439002781378,0,"1","fungi_fungi"
"2","Aspergillus indologenus","Capronia coronata",0.103958884798808,0.02,"1","fungi_fungi"
"3","Aspergillus indologenus","Cladophialophora psammophila",0.136480902930684,0,"1","fungi_fungi"
"4","Aspergillus indologenus","Colletotrichum siamense",0.127657313875013,0.01,"1","fungi_fungi"
"5","Aspergillus indologenus","Colletotrichum simmondsii",0.100751104948538,0.02,"1","fungi_fungi"
"6","Aspergillus indologenus","Diaporthe batatas",0.0893183484064446,0.03,"1","fungi_fungi"
"7","Aspergillus indologenus","Hypsizygus marmoreus",0.0926494169794926,0.03,"1","fungi_fungi"
"8","Aspergillus indologenus","Kalmanozyma brasiliensis",0.153701018151267,0,"1","fungi_fungi"
"9","Aspergillus indologenus","Macroventuria anomochaeta",0.140536844365227,0,"1","fungi_fungi"
"10","Naematelia encephala","Aspergillus indologenus",0.0898871464579446,0.01,"1","fungi_fungi"
"11","Aspergillus indologenus","Neolecta irregularis",0.123017832437615,0,"1","fungi_fungi"
"12","Aspergillus indologenus","Tolypocladium capitatum",0.0812876595479526,0.03,"1","fungi_fungi"
"13","Aspergillus indologenus","Tolypocladium paradoxum",0.135407474332939,0.01,"1","fungi_fungi"
"14","Aspergillus indologenus","Verticillium longisporum",0.103998455594199,0.01,"1","fungi_fungi"
"15","s__Acetivibrio_thermocellus","Aspergillus indologenus",-0.185445175624007,0,"-1","Bacter_fungi"
"16","s__Anaerostipes_hadrus","Aspergillus indologenus",-0.148254333998762,0.01,"-1","Bacter_fungi"
"17","s__Bacillus_amyloliquefaciens","Aspergillus indologenus",-0.12711030446418,0.02,"-1","Bacter_fungi"
"18","s__Butyrivibrio_hungatei","Aspergillus indologenus",-0.134628783142062,0.01,"-1","Bacter_fungi"
"19","s__Clostridium_novyi","Aspergillus indologenus",-0.146336239452314,0,"-1","Bacter_fungi"
"20","s__Coprococcus_comes","Aspergillus indologenus",-0.0955295740467311,0.02,"-1","Bacter_fungi"
"21","s__Coprococcus_eutactus","Aspergillus indologenus",-0.211966066439286,0,"-1","Bacter_fungi"
"22","s__Coprococcus_sp._ART55","Aspergillus indologenus",-0.114910816827029,0.02,"-1","Bacter_fungi"
"23","s__Dorea_longicatena","Aspergillus indologenus",-0.16045932256579,0,"-1","Bacter_fungi"
"24","s__Eubacterium_sp._MSJ-33","Aspergillus indologenus",-0.15091175558161,0.02,"-1","Bacter_fungi"
"25","s__Eubacterium_sp._c-25","Aspergillus indologenus",-0.158814156366457,0,"-1","Bacter_fungi"
"26","s__Faecalibacterium_duncaniae","Aspergillus indologenus",0.113443327563443,0,"1","Bacter_fungi"
"27","s__Faecalibacterium_prausnitzii","Aspergillus indologenus",0.114721111525899,0.02,"1","Bacter_fungi"
