cluster,tsne1,tsne2
1,-5.490440448,-8.039915976
1,1.992744861,-2.443366609
1,8.715725774,-8.316624399
2,-6.053764763,13.0949775
1,-9.798603404,-8.622501019
1,3.411692488,-2.784938856
2,0.61344233,5.00481364
2,4.628910712,-0.200893737
1,-6.999378024,-8.696002744
1,-7.72701248,-2.217490192
2,-2.244511774,6.629067993
2,0.979176792,1.341313944
2,2.075029749,2.371309805
2,1.521223834,7.316672571
1,-2.485267603,-8.141011358
1,0.865607441,-2.95006981
1,6.127845568,-9.228941363
1,-6.997125816,-11.02444683
2,9.580453839,6.586659108
2,3.384724077,3.434455344
2,-3.649719698,14.41536097
2,4.101369025,8.755046456
1,-2.096280135,-5.2207409
2,3.181585504,0.370062345
2,10.87005957,-4.971559279
2,2.07159967,4.075956872
1,-10.54801132,-1.502164096
2,1.925077693,1.475022889
2,4.303650232,-2.485041642
1,-1.596168372,-7.072987433
2,4.438385282,7.229600053
2,-0.131712365,8.223308303
2,-1.462100639,5.186843525
2,3.172297467,12.3825094
2,0.931472206,8.184196626
2,10.30187453,-2.242075768
2,1.996298693,-0.072730927
2,4.058805062,4.584783857
2,-5.834195392,3.112053533
2,5.307087973,-0.627432639
2,5.043701904,0.115250057
2,3.502398195,2.835268379
2,7.613172015,-2.660375654
1,-3.105045326,-2.433148691
2,12.05455791,8.30805165
2,6.044160571,11.26377466
2,6.083154384,12.51253339
2,-5.902250986,12.9419375
2,-4.57269785,11.79871909
1,0.246080868,-7.773132024
2,6.329724863,11.52119101
2,12.4819158,-5.580668174
2,11.17609661,0.891606658
2,6.51528768,14.48176487
1,-5.351317726,-7.601200695
2,10.46869796,4.322956601
1,-14.59331417,-4.516558401
2,2.989887305,8.634148677
1,-8.846700125,1.669697558
2,5.813833675,3.577557343
2,7.983115986,12.95730038
2,7.711597879,-2.357106728
2,11.82493846,5.537757849
2,8.349458844,5.686155606
2,11.58880414,2.955463048
1,-5.903753586,-13.96455702
2,14.4351658,0.613141635
2,4.563410707,2.039446365
2,-0.893915406,9.152289849
2,-5.952230206,5.989771707
2,6.052517206,6.483417267
2,4.545931149,9.71686057
2,4.533468544,5.288370711
1,0.917099995,-7.288898422
2,-1.523298973,1.336962286
2,2.328438068,5.926844329
2,8.078696937,8.958434408
1,-9.713042158,1.978434474
1,-1.48162011,-2.26467049
1,7.635518932,-4.670798185
1,0.53650091,-0.970944663
1,7.601888691,-4.688088867
2,-2.859971304,6.158368842
2,8.518487497,-3.633042311
2,5.903509983,10.04857562
1,-6.455492376,-5.784889706
2,-4.100101422,6.740480491
2,-3.358403121,15.066709
2,-3.767451127,13.6102125
2,-0.387876116,7.287006715
2,-10.35041757,5.9740105
1,-9.836775607,-6.288345632
1,7.009593963,-8.282810245
1,9.213039819,-7.660914544
1,-4.397992654,-3.044326296
2,-0.641636715,6.237192346
1,2.875064871,-7.77600921
1,-2.225432556,-6.488043107
1,-4.471989643,-11.6481158
2,10.88293662,0.420864657
1,-4.284840919,-9.121985669
1,0.277014052,-9.351423962
2,8.856886239,10.68157812
2,-3.498540232,14.94484748
2,-4.914289995,15.87254287
1,-0.706825858,-1.364197666
1,-5.66838337,-11.84734463
1,-0.377552833,-2.046660155
1,9.119248672,-7.630529402
2,5.903752546,9.547862332
1,-2.747051141,-9.735269602
2,-3.595911171,6.029383912
1,-4.447109935,-2.496315742
1,4.801559947,-5.361588866
2,5.80878464,8.877392109
1,-5.006050838,-8.474927877
1,5.585786349,-3.920333555
1,-6.466832118,-9.444025305
2,-2.444006204,4.156426153
2,8.648594807,7.300527727
1,-4.143685497,0.528023919
1,-5.301332712,-11.75688491
1,-8.570100218,-4.451836129
2,-3.360533387,14.30934076
2,8.087638815,-3.0496777
2,8.704950643,9.928427832
2,10.63901509,-5.565215384
2,-4.081771931,18.86900708
2,1.015038392,5.191562931
2,5.937870606,10.32862013
1,-5.098976438,-7.548703808
1,-6.240634142,-6.280919619
1,-8.461853984,-1.341244885
1,-7.916314483,-6.38071399
1,-6.643504461,-9.434124605
2,-3.189825614,5.929200222
1,-7.527904116,-4.478190103
1,-8.386155857,-5.259704723
1,-3.853823838,-7.47511083
2,-1.312812819,1.386233563
2,8.132572711,8.992847482
2,8.052634809,1.967033587
2,-4.112004188,18.7524983
2,0.794982509,-0.113862767
2,3.246529548,0.991160814
1,-3.908908538,-13.03652523
1,0.157668537,-2.23040302
2,-0.889030207,3.435497872
1,-5.549181822,-10.13127411
1,-7.955882225,-9.923386672
1,6.218511594,-9.854460117
1,-5.519177568,-12.17829659
1,-6.006691665,-7.394394415
1,-5.869810115,-10.9772817
2,-4.479783554,15.28484806
2,3.785945678,0.299799673
1,-3.42794633,-0.530805928
1,-4.695585374,-9.413924278
1,-7.373022803,0.010604417
1,-6.825342596,1.802326998
2,0.987180435,4.818485795
2,8.393738225,11.64878722
2,-0.852065409,6.316113051
2,-4.408288977,17.71682065
2,3.044180641,5.141540679
2,1.145237224,12.99401863
1,-9.262284475,-2.849521755
1,-4.348384732,1.35711318
2,0.520166082,0.438870919
1,-9.89873474,1.174205621
1,-2.783729562,-11.42016216
1,-3.153506467,-2.144251884
2,10.95512114,-5.234187867
1,-4.575550304,-3.49746022
1,-3.832252964,-8.461437247
2,-0.191129481,0.933111072
1,-9.828303536,-5.82240946
1,-5.125075341,1.884523204
1,-4.212630749,-1.536455106
2,-5.545357657,14.43861032
1,-2.732672518,-11.77351746
1,-7.423429373,-10.89911706
1,2.91081168,-4.266910076
2,3.088154264,1.831177598
2,1.243887199,1.682515403
2,0.974491405,4.84790026
2,1.33738396,9.789787733
1,1.542136359,-1.572232741
2,2.983548102,8.491128983
2,5.167269837,-2.540394524
1,-7.215312149,-9.112776186
2,-4.375636472,17.84240505
2,-6.714055614,14.2011135
1,-4.058119757,-7.927383434
2,2.404802774,2.123661122
1,-5.986891456,-8.039042127
1,-9.378900229,-8.37414675
1,1.222203389,-10.3320206
1,-2.939479924,-3.415301203
1,6.995286209,-7.555310399
1,-9.794953258,-4.46351392
1,-5.41403621,-3.905186344
2,-4.559086754,11.90760612
2,1.392921564,-0.922527765
1,2.38602778,-4.14315515
2,5.150167462,9.129230642
1,-4.2224387,-9.94548622
1,5.859079641,-5.018200418
1,-7.304423944,-8.875768722
2,-0.621854044,5.277445626
2,-4.683307811,14.65407922
1,-10.04400719,-9.492478299
2,7.205788012,1.734524398
2,-4.063428765,18.91626787
1,-2.543174069,0.438167116
2,2.12976096,8.376758195
1,-4.679223312,-7.135486816
2,4.757986094,8.495176752
2,-2.670572892,3.891793035
1,-3.343013482,-11.82210826
1,-4.775411935,-13.164319
1,-4.96523644,1.155312656
1,-6.170617013,-0.919615969
2,5.937926431,1.958337321
2,7.608624231,10.49942991
2,3.741749012,2.049336059
2,-1.750339772,3.32865323
1,-1.320100035,-9.71649934
2,1.312751149,13.01067237
2,5.5960049,10.77951735
2,5.999748275,5.707071152
1,-5.767333545,-6.980969843
2,4.33623719,6.856825949
2,8.04866457,-3.502287689
2,-2.797293125,1.895458449
2,-3.520303143,2.88748782
2,-2.682357807,13.95753002
2,8.797208117,-1.32643041
2,5.100520907,5.535353186
1,-4.390932016,-7.453852287
1,-1.59290311,-3.460600924
1,-9.056245945,-1.474781195
2,7.030084403,10.52561192
1,2.029660761,-4.493924349
1,-8.847448301,-1.779184065
1,2.15845541,-5.891245975
1,2.388392613,-5.378414606
1,-8.006619542,-5.41856337
1,8.684910053,-7.206439212
1,-1.571861623,-9.748389984
2,5.735178823,5.03654038
2,7.59704231,10.61310839
1,4.139087999,-3.245429557
2,8.389805254,0.181332739
2,10.93956631,-5.081096335
2,2.951394817,5.748466019
2,0.125874516,0.912390129
1,0.969355113,-5.933830555
1,1.378161853,-6.715120465
2,4.998151064,7.915571966
1,-2.768415127,-2.384361507
1,-4.587281328,-8.128223378
1,-3.613677773,-11.52590963
1,-3.851223408,-9.964020067
1,-8.866017487,-0.43080308
2,8.822174799,-1.322559408
1,-3.164373301,-12.67836821
2,4.74101976,1.938290497
2,-0.775757154,9.925406862
2,9.378485643,-0.171504959
2,-6.663611443,4.345040554
1,-4.145523591,-12.63995888
1,-9.38770961,-8.202535887
1,-0.84852918,-3.728358529
1,-6.805111919,0.600045151
1,-5.699936311,-8.799902651
1,-3.441629653,-9.752098789
1,-0.427416042,-4.409423431
2,9.405674015,3.11595971
1,-9.021322152,-3.627608384
2,5.809946297,0.687754446
1,-0.040583531,-3.216659391
2,-1.72040484,6.679257342
1,-4.925372336,-0.281739149
1,-10.60868819,-12.86082305
1,-5.552983854,-2.003759557
1,-1.990061493,-7.590164341
2,8.323832286,4.337263176
2,3.347197065,-0.391817806
1,-1.519922372,-3.021296136
1,7.034432784,-9.319170839
1,-7.596113155,-13.85352925
2,-2.766996287,2.041903492
2,4.12896393,-1.087285945
2,2.368573457,6.763222065
2,3.709886133,10.48166153
1,-6.05242526,1.456756896
2,-4.612864653,5.457686497
1,3.86473324,-4.406627206
2,4.560336771,0.682510433
2,2.170957829,-0.653144746
1,0.149340171,-10.28276804
2,4.993051264,2.758395379
2,-4.930260299,15.71386175
2,6.818219952,7.365373564
2,5.127683479,10.29318866
1,-6.992198874,2.10949313
1,2.914266276,-9.188053813
2,4.853876041,4.077399973
1,-7.614277208,-13.8874211
2,0.221335427,1.676996124
1,-4.121699075,-11.19273619
1,-9.468370811,-5.558451079
2,11.22710469,1.294178886
1,-2.103328483,-9.817794158
1,-5.426862291,-10.46854864
2,-1.484752113,4.216038056
1,-2.791176697,-2.856934454
1,-0.329528248,-7.206535085
1,-8.029503832,-10.61084784
1,-4.837241307,-13.31181497
1,8.328872209,-8.643130123
1,0.16081333,-1.72608929
2,7.889726578,11.00556122
2,0.213246768,8.75385008
1,-7.91297298,-3.725182846
1,-7.775312527,-5.513894929
1,-7.374583863,-0.479827548
2,6.538995493,7.111499126
2,1.198473982,-0.163331246
2,-2.531316217,7.297857428
1,-5.025731659,-2.065414164
1,6.178281673,-9.988316532
1,-1.958127422,-8.125278169
1,-9.09527191,-6.84581611
2,3.46857686,-0.912179078
2,8.289747801,-1.866478753
1,3.732709398,-8.638121798
2,6.979782738,6.735665533
1,-6.791286012,-9.966567671
1,-8.576478204,-6.490351467
2,6.491529626,-2.237244686
2,7.198126166,8.854100529
1,-6.455709824,-11.8085258
2,0.481902989,10.41187559
2,2.766086861,2.293221022
2,2.28823595,4.906288813
2,7.013273727,5.493275109
2,-5.735001918,12.93929746
1,-0.91668465,-2.495403538
1,-5.334557053,-10.75998373
1,0.532799058,-4.403983991
1,1.968917231,-3.323485159
2,-1.838419293,4.710144361
2,-0.586169485,2.423443939
2,3.867202055,6.220500344
2,2.784936652,-0.514912326
1,-4.567790908,-10.0442432
1,-5.89318964,0.963853755
1,-4.853781039,-14.20531642
1,-5.486582356,1.02319278
2,9.983496699,9.84844917
2,-5.737529296,15.19586255
2,6.530890497,7.711224459
2,7.55832198,8.905741425
1,-4.027735745,-3.297637796
2,7.062041543,9.940988165
1,-0.219463641,-7.61066651
2,7.106445509,9.942542804
2,2.429289001,3.719486709
2,7.46673597,10.59725011
2,2.485215918,4.118514732
2,6.854661628,10.24169722
2,1.655214964,3.750830417
2,7.70413241,10.71469819
2,1.5733261,5.195920342
2,-5.520249926,15.53526412
1,6.639675569,-8.78197081
1,2.289405748,-1.524651138
1,-9.430440154,-11.13247022
1,-6.724196635,-4.161205585
1,-11.08573366,-12.52867193
1,-10.7803458,-12.24893252
1,-9.769439925,-9.864555062
1,-9.2734088,-10.95319772
1,-10.2280299,-11.78895849
2,6.995843929,10.35708652
1,-10.31426163,-12.30028364
1,-10.22796603,-11.87003835
1,2.324445011,-7.292904898
1,-10.52783174,-11.99035709
1,-2.103617723,-4.137445426
1,-9.924291822,-11.55740153
1,-3.495991857,-4.74845116
1,-5.255519888,-10.0194905
2,2.616629789,1.248365655
2,5.201603333,4.882054278
1,-1.919202548,-12.89187342
1,-0.114520432,-9.386769222
1,-0.135976315,-8.098626775
1,-0.179285901,-7.955233086
1,-4.82394708,-11.43566834
1,-4.438824519,-6.270874768
2,4.809714156,1.446252862
2,3.259553518,2.156292612
1,-4.036403367,-8.881478847
1,-1.118812513,-1.754759295
1,-5.281296861,-1.837645376
