Ascomycota,Basidiomycota,Chytridiomycota,Cryptomycota,Microsporidia,Mucoromycota,Zoopagomycota,B_A_ratio,group
75.425,18.75,0.675,0,2,2.45,0.7,0.248591316,favor-type
79.025,15.825,0.6,0.15,1.75,1.525,1.125,0.200253084,favor-type
71.5,22.85,0.7,0,2.975,1.7,0.275,0.31958042,favor-type
79.575,15.775,0.275,0.05,1.725,1.85,0.75,0.198240653,unfavor-type
76.2,18.45,0.375,0.125,1.6,2.75,0.5,0.242125984,favor-type
76.325,17.725,0.9,0.05,2.3,1.675,1.025,0.232230593,favor-type
74.95,17.95,1.15,0.025,2.75,2.075,1.1,0.239492995,unfavor-type
73.425,19.55,1.55,0.25,2.475,1.65,1.1,0.266258086,unfavor-type
75.1,19.85,0.45,0,2.225,1.75,0.625,0.264314248,favor-type
77.7,17.75,0.35,0.15,1.125,2.375,0.55,0.228442728,favor-type
77.225,17.075,0.65,0.175,1.425,2.85,0.6,0.221107154,unfavor-type
75.175,18.825,0.525,0.3,1.85,2.25,1.075,0.250415697,unfavor-type
77.025,18.1,0.9,0,1.475,1.8,0.7,0.23498864,unfavor-type
78.9,15.125,0.65,0.075,1.3,3.675,0.275,0.191698352,unfavor-type
77.2,17.475,0.525,0.2,1.425,2.575,0.6,0.226360104,favor-type
75.275,17.95,0.475,0.075,1.95,3.65,0.625,0.238458984,favor-type
75.65,18.575,0.825,0,2.225,2.175,0.55,0.245538665,favor-type
74.375,19.525,0.45,0.2,2.025,2.925,0.5,0.262521008,favor-type
79.85,15.175,0.25,0.025,1.575,0.95,2.175,0.190043832,unfavor-type
75.05,18.8,0.6,0.025,2.275,2.5,0.75,0.250499667,unfavor-type
83.1,11.625,0.9,0.025,0.825,1.675,1.85,0.139891697,unfavor-type
78.65,16.7,0.4,0.275,1.675,1.825,0.475,0.212333121,unfavor-type
77.275,18.425,0.625,0.025,1.55,1.475,0.625,0.238434164,favor-type
75.05,18.35,0.95,0.05,1.575,2.975,1.05,0.244503664,unfavor-type
72.475,21.75,0.85,0.05,1.575,2.975,0.325,0.300103484,unfavor-type
74.775,18.775,1.2,0.025,2.2,2.525,0.5,0.251086593,unfavor-type
75.475,19.4,0.75,0.225,1.575,1.9,0.675,0.257038755,favor-type
75.075,19.25,0.675,0.05,1.5,2.7,0.75,0.256410256,unfavor-type
76.2,17.875,0.85,0.125,1.65,2.275,1.025,0.234580052,unfavor-type
77.625,18.5,0.35,0.025,1.25,1.4,0.85,0.238325282,favor-type
78.225,15.875,1.05,0.125,1.075,2.775,0.875,0.202940236,unfavor-type
79.05,16.1,0.3,0.025,1.375,2.325,0.825,0.203668564,unfavor-type
75.225,18.925,0.275,0.575,1.4,2.875,0.725,0.251578598,unfavor-type
77.25,17.525,0.525,0,1.05,2.925,0.725,0.226860841,unfavor-type
77.725,16.35,0.6,0.05,1.925,2.375,0.975,0.210357028,unfavor-type
71.575,22.175,1.05,0.15,1.9,2.225,0.925,0.309814879,unfavor-type
74.7,18.675,1.225,0.125,1.675,2.55,1.05,0.25,unfavor-type
78.9,15.475,0.35,0.025,1.825,2.775,0.65,0.196134347,unfavor-type
74.85,18.225,1.3,0.025,2.05,2.575,0.975,0.243486974,unfavor-type
73.425,20.925,0.45,0.075,1.375,3.225,0.525,0.284984678,unfavor-type
74.625,19.675,0.45,0.025,1.925,2.4,0.9,0.263651591,unfavor-type
77.5,17.35,0.775,0,1.5,2.3,0.575,0.223870968,unfavor-type
75.2,18.575,0.775,0.05,1.775,2.875,0.75,0.247007979,unfavor-type
76.275,19.775,0.25,0.025,1.375,1.95,0.35,0.259259259,favor-type
78.425,16.575,0.35,0,2.725,1.6,0.325,0.211348422,unfavor-type
80.35,13.7,1.275,0,1.975,1.975,0.725,0.170504045,unfavor-type
80.4,14.575,0.2,0,1.55,2.475,0.8,0.181281095,unfavor-type
76.075,18.55,0.65,0.075,2.075,1.85,0.725,0.243838317,unfavor-type
77.65,15.825,0.6,0.025,2.625,2.825,0.45,0.203799099,unfavor-type
77.525,16.525,1.7,0.2,1.575,1.475,1,0.213157046,favor-type
80.65,13.45,0.6,0.475,1.675,2.975,0.175,0.166769994,unfavor-type
73.7,21.375,0.5,0.025,2.975,1.175,0.25,0.290027137,unfavor-type
76.325,19.325,0.575,0.025,1.75,1.625,0.375,0.25319358,unfavor-type
82.125,13.375,1.025,0,1.9,1.3,0.275,0.162861492,unfavor-type
74.75,18.325,1.1,0.1,3,2.15,0.575,0.245150502,favor-type
76.025,18.4,0.55,0.025,1.95,2.25,0.8,0.242025649,unfavor-type
90.175,7.55,0.425,0.075,0.725,0.975,0.075,0.083726088,favor-type
79.125,13.55,0.65,0.05,3.125,2.575,0.925,0.171248025,unfavor-type
77.075,17.3,0.525,0.05,2.075,2.175,0.8,0.224456698,favor-type
72.775,21.925,0.675,0.025,1.95,2.275,0.375,0.301271041,unfavor-type
79.925,17,0.35,0,1.75,0.9,0.075,0.212699406,unfavor-type
75.625,19.525,0.975,0.05,1.85,1.425,0.55,0.258181818,unfavor-type
74.5,21.4,0.175,0.05,1.125,1.9,0.85,0.287248322,unfavor-type
76.475,17,1.2,0.05,1.95,1.95,1.375,0.222294868,unfavor-type
70.275,24.7,0.425,0.1,1.725,2.275,0.5,0.351476343,unfavor-type
73.45,22.1,0.625,0.125,1.4,1.45,0.85,0.300884956,favor-type
72.125,19.975,0.2,0.025,1.7,4.525,1.45,0.27694974,unfavor-type
75.225,19.225,0.475,0.1,1.8,2.5,0.675,0.255566633,unfavor-type
77.6,16.5,1.05,0,1.625,2.5,0.725,0.212628866,unfavor-type
78.125,16.625,0.425,0.025,1.675,2.6,0.525,0.2128,unfavor-type
75.25,18,0.7,0.125,2.075,2.825,1.025,0.239202658,unfavor-type
76.175,18.05,0.125,0.025,1.925,2.875,0.825,0.236954381,unfavor-type
77.725,16.275,0.875,0.025,3.4,1.125,0.575,0.209392087,unfavor-type
75.525,20.25,0.7,0.1,0.95,1.65,0.825,0.268123138,favor-type
77.1,16.65,0.85,0.025,1.95,2.65,0.775,0.215953307,unfavor-type
75.5,19.1,1.275,0.025,1.575,1.825,0.7,0.252980132,unfavor-type
83.725,13,0.55,0,1.25,1.125,0.35,0.15527023,unfavor-type
78.775,16.9,0.5,0.1,1.05,2.15,0.525,0.214535068,favor-type
74.65,20.4,0.675,0.05,1.775,1.725,0.725,0.273275285,favor-type
73.325,20.625,1.15,0.05,3.125,1.45,0.275,0.281281964,favor-type
73.25,19.925,1.025,0.1,1.875,2.875,0.95,0.272013652,favor-type
74.425,19.15,0.975,0.1,2.65,2.425,0.275,0.257306013,favor-type
76.775,16.875,0.825,0,2.175,2.65,0.7,0.219798111,unfavor-type
75.5,18.9,1.425,0.05,1.675,1.85,0.6,0.250331126,unfavor-type
81.8,13.55,0.375,0,1.025,2.75,0.5,0.165647922,unfavor-type
73.1,20.025,1.05,0.275,2.625,1.9,1.025,0.273939808,favor-type
77.475,16.375,0.9,0,1.075,3.475,0.7,0.211358503,unfavor-type
85.525,9.35,1.15,0.05,1,2.65,0.275,0.109324759,unfavor-type
