Species,fc,auroc,p.val,p.adj,cohen.d
Arthroderma uncinatum,-0.014078431,0.490612611,0.659270855,0.700536691,-0.143400532
Aspergillus costaricensis,0.005532406,0.499042795,0.964344081,0.972528048,-0.145186795
Candida parapsilosis,0.025539231,0.507514433,0.725634072,0.759731415,-0.118664371
Aspergillus fischeri,-0.041885347,0.464255566,0.095053415,0.123673513,-0.227158403
Aspergillus fumigatus,0.048144288,0.512277846,0.564780084,0.613853963,-0.102599965
Boeremia exigua,0.195707358,0.62389017,7.21E-09,4.72E-08,0.364572751
Rachicladosporium antarcticum,0.147436989,0.669319706,2.63E-15,5.85E-14,0.517321657
Puccinia graminis,0.24478499,0.669086058,2.85E-15,6.17E-14,0.494521681
Cladophialophora psammophila,0.183616946,0.587052865,4.77E-05,0.000129288,0.090976677
Tolypocladium ophioglossoides,-0.137032866,0.395770211,1.13E-06,4.52E-06,-0.421010659
Torulaspora delbrueckii,-0.096517213,0.397066582,1.53E-06,6.00E-06,-0.395026628
Ogataea angusta,0.234632696,0.636085108,2.08E-10,1.90E-09,0.296142881
Fomitopsis pinicola,-0.04789759,0.447756976,0.014694754,0.02243546,-0.266388656
Testicularia cyperi,-0.039540857,0.455109363,0.036042299,0.051191552,-0.230941332
Aspergillus saccharolyticus,0.043533991,0.511697493,0.584847404,0.632771167,-0.142698387
Candida maltosa,0.257456734,0.56921268,0.000693923,0.001450931,-0.075219853
Alternaria arborescens,0.030832421,0.511512836,0.564153758,0.613853963,-0.085298612
Aspergillus tubingensis,0.260337192,0.566231779,0.001948252,0.003577482,-0.070240348
Alternaria burnsii,0.262941445,0.583122296,6.52E-05,0.000169782,0.123168075
Daedalea quercina,0.141504042,0.545542592,0.033328588,0.047526566,-0.056143103
Aspergillus turcosus,0.135257037,0.532944422,0.121569189,0.154096908,-0.046232387
Daldinia caldariorum,0.320626807,0.60767045,4.62E-07,2.09E-06,0.203981723
Puccinia coronata,0.13205833,0.569167458,0.00123623,0.002382249,0.120324353
Aspergillus lentulus,0.234908215,0.568594643,0.00118977,0.00231146,-0.005085339
