Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,Pielou,Coverage,group
6383,6594.2,28.33585312,6522.568484,39.75588691,3.805133875,0.938619213,16.29174279,721.7839071,0.434306926,0.999923,favor-type
5338,5911.107195,50.42417927,5859.373273,36.12579902,2.889566245,0.868433405,7.600713543,590.1843507,0.336677011,0.9998232,favor-type
5505,5980.004902,45.0276163,5913.936189,36.82159101,2.602959534,0.762362813,4.208095605,610.9882733,0.302198423,0.9998474,favor-type
6263,6468.906915,27.38422156,6412.604278,39.36292078,4.030191547,0.944055945,17.87500017,706.5053944,0.460992957,0.9999212,unfavor-type
6497,6609.655172,19.25789656,6582.775868,37.28469441,3.960842326,0.937911918,16.10615062,736.3367887,0.451167456,0.9999514,favor-type
6102,6355.322034,32.26322108,6265.862561,38.87809603,3.316585109,0.891959133,9.255756871,686.0726207,0.380500644,0.9999152,favor-type
5390,5871.559371,44.09150088,5824.994841,34.99275705,2.714725546,0.84287322,6.364287477,596.6525828,0.315948621,0.9998358,unfavor-type
6237,6452.359788,28.25030061,6384.820178,39.47812853,3.501158041,0.934755437,15.3269477,703.2005514,0.400670181,0.9999192,unfavor-type
6671,6732.885246,13.59511949,6716.862153,34.75023744,4.360716405,0.950482107,20.19472047,779.5059648,0.49522503,0.999962799,favor-type
4805,5360.442529,52.60204169,5274.065762,35.4208848,3.034454914,0.894405285,9.470170959,524.4034838,0.357945892,0.9998476,favor-type
5170,5893.372263,59.91442898,5773.788972,34.6166462,2.602975307,0.814848012,5.400968194,569.3474252,0.304419198,0.9998008,unfavor-type
6179,6413.727723,29.62110106,6345.885851,39.30898331,3.28574226,0.90669159,10.71714758,695.8353238,0.376420608,0.9999128,unfavor-type
4796,5570.058041,60.13944601,5588.893849,34.16800261,2.96098912,0.896788382,9.688831703,523.3010762,0.34935709,0.9997736,unfavor-type
5095,5791.22434,58.28034246,5680.551882,33.98115272,2.955323552,0.884599093,8.665443159,560.0754402,0.346218179,0.999805,unfavor-type
6055,6358.434968,34.50089409,6269.016889,38.67704346,3.497358837,0.886575253,8.816418185,680.1221896,0.401596458,0.9998932,favor-type
5878,6191.778182,34.1083577,6132.626627,37.82516791,3.305745379,0.904134488,10.43127999,657.7724553,0.380891359,0.9998824,favor-type
6082,6306.649466,26.76602543,6279.275718,38.44432947,3.199010039,0.863598975,7.331323188,683.5397206,0.367149938,0.9998994,favor-type
6601,6711.5,19.69148027,6673.767712,36.92602917,3.986702915,0.948953827,19.59010706,749.6452539,0.453293189,0.9999558,favor-type
4237,5037.670471,64.30635003,4998.687565,32.06126591,2.189437403,0.659409105,2.936073788,455.4024786,0.262157501,0.999788,unfavor-type
6011,6287.893305,32.14977971,6226.817214,38.83735601,2.868656942,0.859714718,7.128331515,674.5575346,0.329679662,0.999897,unfavor-type
5197,5941.175953,61.27641013,5892.866968,37.02271726,3.160633613,0.876991244,8.129502563,572.6899375,0.369412564,0.9997984,unfavor-type
5511,5996.394231,47.59181772,5886.83398,37.39615218,3.140534008,0.896693311,9.67991529,611.7373835,0.364563644,0.9998578,unfavor-type
6115,6329.00232,27.33176393,6276.501724,39.07576701,3.510877223,0.934573764,15.28438838,687.7196413,0.402692803,0.999914,favor-type
6073,6330.098558,31.43090816,6257.102147,39.02487165,3.588267873,0.933352652,15.00434804,682.4003028,0.411895011,0.9999074,unfavor-type
3566,4407.419929,70.79880564,4353.133541,31.28271901,1.818605701,0.667159134,3.004438766,375.4958463,0.222345186,0.9998054,unfavor-type
6140,6384.054545,30.79924328,6305.283422,39.21881897,3.452787054,0.911438437,11.29158032,690.8883928,0.395844698,0.9999132,unfavor-type
5440,5943.167683,46.21365621,5875.561438,35.89701358,2.809709027,0.843958458,6.408549857,602.8802779,0.326652073,0.9998374,favor-type
5380,5814.589661,42.0698664,5746.506552,35.48415475,3.388845752,0.927607167,13.81352211,595.4080116,0.39449019,0.9998532,unfavor-type
6367,6513.510417,22.73450629,6459.23041,39.21495214,3.272909987,0.893733762,9.410326569,725.3929624,0.373667479,0.999938134,unfavor-type
6054,6288.006479,28.68914267,6245.858016,38.98257799,3.56144265,0.924814497,13.30043637,679.9956561,0.408962862,0.9999068,favor-type
4048,4967.843594,74.46851121,5020.04879,35.60138842,2.42129228,0.829925809,5.879786916,432.7114507,0.291511995,0.9997896,unfavor-type
4965,5589.854981,51.82875743,5581.986051,33.44887158,2.947289135,0.896877081,9.697165423,544.0488841,0.346325588,0.9998008,unfavor-type
4650,5562.795,68.64334809,5596.692785,35.39925273,2.822088058,0.886259217,8.791921184,505.4575649,0.334187592,0.9997582,unfavor-type
3720,4838.333333,84.22559344,4850.404074,34.48102443,2.105856619,0.749765043,3.996244225,393.671153,0.256140852,0.9997558,unfavor-type
4700,5412.820225,58.68374311,5368.107454,33.47104258,2.752092001,0.865746368,7.44858804,511.5598299,0.325486525,0.9997984,unfavor-type
6288,6475.007916,25.5162965,6423.710161,39.50655338,3.727505723,0.941336671,17.04642432,709.6849824,0.426176076,0.9999246,unfavor-type
6117,6367.006061,29.6489893,6304.797435,38.4643465,3.458817758,0.925279021,13.38312228,687.9730735,0.396706774,0.9999004,unfavor-type
4628,5328.245427,59.10960106,5270.167562,33.89947697,3.280952868,0.933526903,15.04367995,502.775406,0.388744015,0.9998082,unfavor-type
6243,6469.532328,28.01916499,6418.20245,39.47093412,3.129479658,0.897683539,9.773598439,703.9630327,0.358096152,0.9999082,unfavor-type
6336,6469.01107,21.49683096,6427.738383,37.82554253,4.241947132,0.950462879,20.18688184,745.4391992,0.484572277,0.999926538,unfavor-type
6384,6563.310897,25.82813366,6508.433673,38.57330879,3.8792949,0.940413402,16.78229732,741.2909503,0.442763534,0.999917778,unfavor-type
5823,6164.860595,36.47047379,6103.462454,38.17277514,3.655131447,0.940400398,16.7786356,650.8469285,0.421604656,0.9998786,unfavor-type
6508,6648.051546,21.9662128,6597.528375,39.43861095,3.469349983,0.890136734,9.102223502,737.7429705,0.39510693,0.9999428,unfavor-type
6458,6617.009585,23.67697482,6557.967124,39.77383517,3.929657083,0.957545411,23.5545799,731.354002,0.447922434,0.9999368,favor-type
4303,5344.509069,75.22445287,5451.527692,36.6577678,2.851053114,0.884867854,8.685671484,463.3588122,0.340746986,0.9997374,unfavor-type
3732,4770.365651,77.80226861,4839.394122,34.71860943,2.880214377,0.903840348,10.39937206,395.0916431,0.350190831,0.999755,unfavor-type
2932,3803.997854,76.65461199,3770.249742,30.44465039,2.449996818,0.817845156,5.489834797,301.7930325,0.306884851,0.9998196,unfavor-type
6570,6684.010989,19.24219876,6649.218637,38.86346868,4.003644496,0.949147049,19.66454214,753.7786435,0.455463245,0.999945623,unfavor-type
5633,5977.252874,36.90846638,5892.869891,36.6604504,2.190804373,0.767102561,4.293735487,626.9940094,0.253671092,0.99988,unfavor-type
5644,6115.7713,43.87723995,6052.598193,36.52567388,2.93330863,0.885667833,8.746444937,628.3719091,0.339568228,0.999841,favor-type
4108,4964.221477,66.60588824,4991.68779,33.02570457,2.97728547,0.903517687,10.36459398,439.8998418,0.357817069,0.999774,unfavor-type
5257,5804.165992,47.76276531,5768.921579,34.38314844,2.243882745,0.673438887,3.062213965,580.1263838,0.261911992,0.9998198,unfavor-type
6471,6619.068862,22.19924224,6578.317165,39.71036554,2.732315041,0.701556385,3.350716684,752.8623797,0.311371884,0.999922584,unfavor-type
3637,4703.059113,83.18831586,4678.07,33.88979814,2.651506219,0.859807111,7.133029429,383.8627714,0.32339723,0.999772,unfavor-type
6672,6738.391753,14.11358181,6716.169589,37.08183342,3.986737629,0.941393696,17.06301087,759.8387926,0.4527464,0.999967438,favor-type
6106,6279.937198,23.79377584,6241.728301,39.03018986,3.745960665,0.920192102,12.53008817,697.791607,0.429729149,0.999913732,unfavor-type
6481,6622.802326,22.74496622,6569.23636,38.43503345,4.146552998,0.957214626,23.37247301,751.120549,0.472453886,0.999935427,favor-type
4939,5556.260229,54.73236346,5481.334192,35.29421563,2.893629933,0.876543977,8.10005032,540.850487,0.340230191,0.9998262,unfavor-type
6400,6579.163205,25.38019484,6513.021929,39.88032836,3.37561796,0.911971028,11.35989643,723.9517183,0.385166299,0.9999304,favor-type
5772,6105.062395,35.01967969,6050.333334,36.95032148,3.479954759,0.925961161,13.50642465,644.4333479,0.401806443,0.9998742,unfavor-type
3237,3968.702222,67.52363415,3899.6232,30.29519168,2.45969409,0.842623982,6.354208293,337.0159908,0.304327106,0.9998376,unfavor-type
6406,6547.570946,22.05574735,6499.086553,39.11135796,3.439492981,0.899492726,9.949528652,727.8476461,0.392412638,0.999940011,unfavor-type
5570,5951.521257,39.45864948,5889.161891,37.43157781,3.373890921,0.909797179,11.08612779,619.1097203,0.391168941,0.9998714,unfavor-type
5051,5637.90069,50.55415717,5621.151214,34.75183701,3.086422676,0.908916559,10.97894406,554.6446442,0.361944302,0.9998154,unfavor-type
6151,6347.538244,26.85147397,6288.592754,38.92612231,3.505066056,0.900336173,10.03373068,721.8158432,0.40175578,0.99989708,unfavor-type
6195,6452.592326,31.45765501,6376.028997,39.37546157,3.453356007,0.912871762,11.47733534,697.8661269,0.395505569,0.9999072,favor-type
6095,6334.696429,30.27617367,6270.785366,38.91237672,3.319663362,0.873561379,7.908975858,685.1859708,0.380903961,0.9999132,unfavor-type
6233,6383.795148,22.00562397,6345.6811,39.3086804,3.63631033,0.92816356,13.9205117,717.1572087,0.416167472,0.999921488,unfavor-type
5040,5574.155172,46.7375864,5555.619264,33.14489683,2.870094559,0.894134424,9.445941143,553.2879706,0.336661611,0.9998204,unfavor-type
5839,6197.790698,38.14051219,6110.315023,37.91397337,2.750322591,0.786519896,4.684277267,652.860675,0.317138232,0.9998782,unfavor-type
5995,6285.168959,32.79490957,6214.148423,38.24707622,3.358725275,0.904925075,10.51802044,684.2808056,0.386118913,0.999875385,unfavor-type
3780,4763.036496,75.65712539,4808.78236,33.93085337,2.810181715,0.885771135,8.754354725,400.7796382,0.341145831,0.9997678,unfavor-type
5157,5793,52.43080112,5770.157422,33.84223924,2.322326242,0.808370807,5.218411588,567.7389322,0.27167715,0.9997984,unfavor-type
5418,5954.716069,48.73754892,5872.641937,35.97796566,2.955151635,0.862668394,7.28164499,600.1391001,0.343722921,0.999834,favor-type
6181,6433.670673,31.03781303,6354.498782,39.27622989,3.2936599,0.911038908,11.24086925,696.0891331,0.377313678,0.9999082,unfavor-type
5382,5860.637271,45.47667546,5801.933767,36.76968366,3.072802541,0.898514026,9.853578401,595.6569,0.357684623,0.9998482,unfavor-type
5435,5880.281155,42.22424972,5825.552254,35.48147772,3.252441691,0.900329447,10.03305359,603.3707892,0.37816386,0.999844514,unfavor-type
6129,6368.893617,29.78536802,6320.338767,39.04811608,3.765003118,0.925871647,13.49011486,689.4939148,0.431727454,0.9999098,favor-type
6123,6420.024691,35.13568999,6330.403326,39.1628469,3.671666414,0.934852744,15.34984077,688.733441,0.42107196,0.9999018,favor-type
6259,6476.579787,28.49341476,6414.040893,39.34731007,3.19025311,0.838127891,6.177716524,705.9968289,0.364943373,0.999919,favor-type
