Acidobacteria,Actinobacteria,Aquificae,Armatimonadetes,Atribacterota,Bacteroidetes,Balneolaeota,Caldiserica,Calditrichaeota,Candidatus_Absconditabacteria,Candidatus_Bipolaricaulota,Candidatus_Cloacimonetes,Candidatus_Omnitrophica,Candidatus_Saccharibacteria,Chlamydiae,Chlorobi,Chloroflexi,Chrysiogenetes,Coprothermobacterota,Cyanobacteria,Deferribacteres,Deinococcus.Thermus,Dictyoglomi,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermodesulfobacteria,Thermotogae,Unassigned,Verrucomicrobia,F_B_ratio,group
0.00878,3.32838,0.00106,0.00146,2.00E-04,56.40652,0.00074,2.00E-05,0.00038,2.00E-05,0.00012,0.00028,0.00014,0.03044,0.00046,0.0049,0.01046,0.00046,0,0.02574,0.00078,0.01514,0.00012,0.00058,0.00152,29.16992,0.01188,0.00198,0.00028,0.00256,0.00224,0.02036,2.17832,0.02854,0.0244,0.00688,0.00064,0.00246,4.00E-05,8.7108,0.517137381,favor-type
0.0037,0.30448,0.00064,0.00062,4.00E-05,76.10424,1.00E-04,8.00E-05,0.00012,0,2.00E-05,6.00E-05,2.00E-05,9.00E-04,0.00086,0.00262,0.00422,0.00014,2.00E-05,0.01294,0.00042,0.00458,0,0.00026,0.00054,22.09252,0.00522,0.00038,0.00058,3.00E-04,0.00086,0.00644,1.41574,0.019,0.00464,0.00352,0.00036,0.00248,0,0.00634,0.290292893,favor-type
0.00698,8.4315,0.00136,0.00028,0.00012,65.97566,0.00014,2.00E-05,2.00E-04,4.00E-05,0,6.00E-05,0.00016,0.00022,0.00086,0.00298,0.00516,0.00018,2.00E-05,0.01832,6.00E-04,0.00918,0.00012,0.00014,0.00194,23.16514,0.00262,0.00264,2.00E-04,0.00056,0.00126,0.01428,2.26372,0.0141,0.00462,0.00184,0.00018,0.00324,0,0.06936,0.351116457,favor-type
0.00852,2.6878,0.00114,0.00038,3.00E-04,47.00634,0.00042,4.00E-05,0.00106,2.00E-04,0.00012,0.00018,0.00038,0.00276,0.00308,0.0067,0.00904,0.00124,2.00E-05,0.02836,0.0018,0.01088,0.00012,0.00078,0.00184,37.74574,0.01352,0.00126,0.00104,0.00326,0.00318,0.0235,12.26702,0.02972,0.01158,0.00592,0.00066,0.0042,0,0.1159,0.802992532,unfavor-type
0.01394,2.55278,0.0039,0.0018,2.00E-04,44.68674,0.00062,2.00E-05,0.00064,2.00E-05,4.00E-04,2.00E-04,0.00056,0.00372,0.00136,0.00926,0.0175,7.00E-04,4.00E-05,0.04146,0.00262,0.02208,4.00E-04,0.0013,0.00294,47.51236,0.01682,0.00336,0.00138,0.00264,0.0031,0.03634,4.9458,0.04064,0.02392,0.01176,0.00118,0.004,0.00028,0.03122,1.063231733,favor-type
0.00778,0.90308,0.00088,0.00064,6.00E-05,68.86854,6.00E-05,0,0.00042,2.00E-05,6.00E-05,0.00014,0.00022,0.00552,0.00162,0.00386,0.00928,0.00062,0,0.02882,0.00148,0.0161,0.00014,0.00036,0.00126,28.03538,0.00568,0.00156,5.00E-04,0.00166,0.00164,0.02152,1.04628,0.01886,0.0157,0.0041,0.00066,0.00278,0,0.99272,0.407085441,favor-type
0.00292,0.44548,4.00E-04,4.00E-05,2.00E-05,69.48752,8.00E-05,0.00014,0.00018,0.00012,8.00E-05,2.00E-05,8.00E-05,0.0077,0.00088,0.00276,0.00396,2.00E-04,0,0.00972,0.00056,0.00512,6.00E-05,0.00036,0.00052,14.14204,0.00432,4.00E-04,0.00032,0.00036,0.00058,0.00674,0.37588,0.012,0.00372,0.00338,0.00018,0.00134,6.00E-05,15.47976,0.203519136,unfavor-type
0.00936,2.36996,0.00076,7.00E-04,2.00E-05,51.1728,0.00028,0.00034,0.00042,0,0.00024,0.00028,0.00036,0.0034,0.00116,0.00456,0.00882,0.00076,6.00E-05,0.02972,0.00106,0.01554,0.00018,0.00102,0.0013,29.26356,0.0057,0.00146,0.00028,0.00204,0.00152,0.02168,0.99866,0.0207,0.01462,0.00922,0.00076,0.00232,0,16.03438,0.571857706,unfavor-type
0.031608592,11.58406838,0.003572288,0.002562193,0.000197092,45.31639757,0.002759285,4.93E-05,0.001034732,0.000147819,0.001626007,0.000123182,0.001108641,0.024390106,0.003005649,0.024513288,0.031583955,0.007390941,0.000147819,0.082729268,0.00670112,0.050209127,0.000788367,0.003227378,0.002291192,33.87270779,0.019093265,0.010298045,0.003646198,0.012268962,0.006306936,0.072110949,3.342060392,0.069622665,0.132494938,0.023552466,0.00167528,0.020965636,0.000123182,5.230840032,0.747471326,favor-type
0.00204,3.82678,0.00054,0.00034,0.00016,51.1556,0.00018,0,0.00014,0,0,6.00E-05,2.00E-05,0.00018,0.00062,0.00108,0.00182,0.00026,0,0.01,0.00066,0.00288,0.00014,0.00024,2.00E-04,44.24208,0.0059,8.00E-05,0.00024,4.00E-04,0.00074,0.00592,0.70008,0.01928,0.00286,0.00456,0.00018,0.00206,2.00E-05,0.01166,0.864853115,favor-type
