bacter_tsne1,bacter_tsne2,Group
7.048307211,-2.410298913,favor-type
-3.364142898,8.664307084,favor-type
-13.78740704,-13.66046939,favor-type
1.21347836,-6.936803302,unfavor-type
-2.446327722,-6.854285514,favor-type
-1.749354958,11.45927178,favor-type
5.328733607,11.85257021,unfavor-type
-10.06023529,3.607060094,unfavor-type
-8.497554297,-6.878908589,favor-type
-3.745487754,-6.681730447,favor-type
13.36021202,4.879824418,unfavor-type
8.057267447,-4.041443609,unfavor-type
-3.254179023,13.23466829,unfavor-type
12.72721325,-5.888281349,unfavor-type
11.23280472,-4.420552178,favor-type
0.926222387,7.015434497,favor-type
-13.87745173,-11.66682407,favor-type
1.985291899,-4.456260943,favor-type
-12.12239304,5.59337485,unfavor-type
3.812203087,-2.457219459,unfavor-type
12.6890386,1.227853777,unfavor-type
7.728507714,0.613298664,unfavor-type
3.637144409,-1.022833995,favor-type
2.131712685,2.961135191,unfavor-type
-15.33286107,-14.83891939,unfavor-type
5.753703616,4.369317755,unfavor-type
13.31509384,-5.008508795,favor-type
5.336405017,7.667825321,unfavor-type
-5.124785318,5.607499819,unfavor-type
5.140444755,-6.730432856,favor-type
8.849698468,10.28613087,unfavor-type
13.33490575,4.467806321,unfavor-type
-8.743034486,1.174146609,unfavor-type
16.60057075,-5.471303766,unfavor-type
14.62514011,4.621788372,unfavor-type
-12.27434196,-7.138484264,unfavor-type
5.510990519,6.316839144,unfavor-type
3.352017579,4.239356441,unfavor-type
2.318953121,11.07507658,unfavor-type
-3.412567469,0.682680558,unfavor-type
-7.643158288,-9.126013927,unfavor-type
7.723097182,3.359335924,unfavor-type
-8.512003355,-11.30703687,unfavor-type
-0.233751452,-2.204583727,favor-type
5.553007161,-10.2741518,unfavor-type
18.32913918,-4.045656477,unfavor-type
17.14196526,-1.893994462,unfavor-type
-1.970257994,5.341367499,unfavor-type
-10.13816508,5.058712747,unfavor-type
2.853384365,10.71203677,favor-type
11.10681838,-0.915696076,unfavor-type
-15.05915822,-14.11599453,unfavor-type
-12.28217654,-11.91441316,unfavor-type
5.685653446,13.05892823,unfavor-type
-4.932818706,0.096745576,favor-type
4.476124311,3.728461032,unfavor-type
-1.500383064,-3.581615836,favor-type
15.3124718,-2.36724621,unfavor-type
6.186410013,-3.640230344,favor-type
-7.784546895,14.014446,unfavor-type
-6.188712982,11.32108346,unfavor-type
-9.899585917,-9.975637765,unfavor-type
6.619294179,-6.892386207,unfavor-type
-12.19722324,3.491807763,unfavor-type
-11.31708919,-3.036830266,unfavor-type
2.350779124,-7.375768021,favor-type
8.003900768,8.171750943,unfavor-type
-0.335862723,6.450258902,unfavor-type
-0.589242947,14.58167296,unfavor-type
12.98742658,-5.380802852,unfavor-type
7.831206521,-2.49520896,unfavor-type
15.86305065,-2.627403894,unfavor-type
-12.39492649,-1.478646792,unfavor-type
13.95377871,-4.615721848,favor-type
5.720127327,8.03318183,unfavor-type
0.344894621,13.95279627,unfavor-type
-0.798919572,13.02456144,unfavor-type
5.619982402,-6.4997252,favor-type
4.930751592,-4.170176822,favor-type
-11.84945594,-11.15910765,favor-type
1.627362472,4.985121942,favor-type
-11.68915476,-8.755453435,favor-type
12.38836263,3.641732197,unfavor-type
-15.39044184,-12.92883658,unfavor-type
12.54832809,-2.628109425,unfavor-type
-0.360510452,0.963618184,favor-type
13.83050713,2.528900767,unfavor-type
13.52539378,0.641652788,unfavor-type
3.235237977,10.64609864,unfavor-type
12.029055,0.529340804,unfavor-type
-10.31202569,-1.540194882,unfavor-type
-5.705318768,-4.20711511,favor-type
-14.32078631,-13.21402374,favor-type
-14.15906903,-15.21898484,favor-type
9.336120243,-7.525621328,favor-type
11.85254181,6.699822417,unfavor-type
-3.775529594,0.88217694,favor-type
6.90435716,-5.836725351,favor-type
2.028237614,3.020906791,favor-type
-12.0286656,-11.3984255,unfavor-type
3.129972778,8.383704275,favor-type
-12.14391204,-1.518364516,favor-type
-12.687236,0.06183712,unfavor-type
3.096683872,15.10364765,unfavor-type
-8.990840013,-2.218536546,unfavor-type
-2.69758833,-3.424218077,favor-type
-0.38610789,8.647413256,favor-type
3.233788315,8.913381256,favor-type
-15.58982592,-13.15317023,favor-type
2.287016274,16.17369412,unfavor-type
0.282392475,11.75583069,favor-type
12.67969556,2.463655779,unfavor-type
