Var1	Var2	cor	p	direction	new_column
s__Roseburia_intestinalis	Daldinia caldariorum	0.207168460579789	0.02	1	Bacter_fungi
s__Faecalibacterium_duncaniae	Colletotrichum scovillei	0.323027096269566	0.01	1	Bacter_fungi
s__Faecalibacterium_prausnitzii	Colletotrichum scovillei	0.262092043438841	0.02	1	Bacter_fungi
s__Anaerostipes_hadrus	Phaeomoniella chlamydospora	-0.229851588037055	0.04	-1	Bacter_fungi
s__Roseburia_sp._NSJ-69	Phaeomoniella chlamydospora	-0.227525484930485	0.01	-1	Bacter_fungi
s__Collinsella_aerofaciens	Malassezia globosa	0.236909297629974	0.04	1	Bacter_fungi
s__Eubacterium_sp._MSJ-33	Malassezia globosa	0.325144968241244	0	1	Bacter_fungi
s__Faecalibacterium_prausnitzii	Malassezia globosa	-0.20197672696983	0.04	-1	Bacter_fungi
Fusarium redolens	Lachancea meyersii	0.240992389682559	0.03	1	fungi_fungi
Epicoccum nigrum	Lachancea meyersii	0.252107226360231	0.03	1	fungi_fungi
s__Faecalibacterium_duncaniae	Lachancea meyersii	0.31827967091071	0.04	1	Bacter_fungi
s__Roseburia_intestinalis	Exophiala aquamarina	-0.233985981908958	0.02	-1	Bacter_fungi
s__Roseburia_sp._NSJ-69	Exophiala aquamarina	-0.252330872183117	0.03	-1	Bacter_fungi
s__Faecalibacterium_prausnitzii	Fusarium redolens	0.223277151396153	0.03	1	Bacter_fungi
s__Coprococcus_eutactus	Epicoccum nigrum	-0.202226443380842	0.03	-1	Bacter_fungi
s__Faecalibacterium_prausnitzii	Ustilago bromivora	0.286607879376242	0.03	1	Bacter_fungi
s__Haemophilus_parainfluenzae	Ustilago bromivora	0.222199232858917	0.04	1	Bacter_fungi
s__Lachnospira_eligens	Ustilago bromivora	0.266157282582903	0	1	Bacter_fungi
Spathaspora passalidarum	Hypoxylon sp. EC38	0.375182359681714	0.02	1	fungi_fungi
s__Butyrivibrio_hungatei	Hypoxylon sp. EC38	-0.277132842823559	0.03	-1	Bacter_fungi
Termitomyces sp. J132	Penicillium roqueforti	0.218378251716933	0.03	1	fungi_fungi
s__Butyrivibrio_hungatei	Penicillium roqueforti	0.238746967835223	0.04	1	Bacter_fungi
s__Pseudobutyrivibrio_xylanivorans	Penicillium roqueforti	0.301528903128707	0.01	1	Bacter_fungi
s__Christensenella_sp._Marseille-P3954	Paracoccidioides lutzii	0.233983833363574	0.04	1	Bacter_fungi
s__Roseburia_sp._NSJ-69	Paracoccidioides lutzii	-0.201738545429141	0.02	-1	Bacter_fungi
s__Lachnospira_eligens	Penicillium solitum	0.480105095963927	0.01	1	Bacter_fungi
s__Faecalibacterium_duncaniae	Nannizzia gypsea	0.439042102568474	0.02	1	Bacter_fungi
s__Ruminococcus_albus	Pseudogymnoascus sp. VKM F-4246	0.239243696453654	0.03	1	Bacter_fungi
s__Ruminococcus_bicirculans	Pseudogymnoascus sp. VKM F-4246	0.225819084234436	0.02	1	Bacter_fungi
s__Faecalibacterium_prausnitzii	Ogataea polymorpha	0.27150524566531	0.01	1	Bacter_fungi
s__Roseburia_intestinalis	Ogataea polymorpha	0.214486906395854	0.04	1	Bacter_fungi
s__Phascolarctobacterium_sp._Marseille-Q4147	Pyrenophora teres	0.275917467596565	0.03	1	Bacter_fungi
Aspergillus flavus	Botrytis cinerea	0.227870299130509	0.03	1	fungi_fungi
s__Coprococcus_catus	Botrytis cinerea	-0.253037166677356	0.03	-1	Bacter_fungi
s__Faecalibacterium_prausnitzii	Botrytis cinerea	0.274775353434439	0.02	1	Bacter_fungi
s__Butyrivibrio_fibrisolvens	Fusarium pseudograminearum	-0.301498494752898	0.04	-1	Bacter_fungi
s__Butyrivibrio_hungatei	Fusarium pseudograminearum	-0.288489570974043	0.01	-1	Bacter_fungi
s__Butyrivibrio_proteoclasticus	Fusarium pseudograminearum	-0.287817234950379	0.03	-1	Bacter_fungi
s__Roseburia_sp._NSJ-69	Fusarium pseudograminearum	-0.325229988500403	0.01	-1	Bacter_fungi
s__Faecalibacterium_prausnitzii	Stemphylium lycopersici	-0.261783292332712	0.02	-1	Bacter_fungi
s__Roseburia_intestinalis	Aspergillus flavus	0.217374390144693	0.04	1	Bacter_fungi
s__Vescimonas_fastidiosa	Aspergillus flavus	-0.245185827477139	0.03	-1	Bacter_fungi
s__Butyrivibrio_fibrisolvens	Termitomyces sp. J132	0.218454986121024	0.04	1	Bacter_fungi
s__Butyrivibrio_hungatei	Termitomyces sp. J132	0.327175424548496	0.03	1	Bacter_fungi
s__Butyrivibrio_proteoclasticus	Termitomyces sp. J132	0.275451616200341	0.02	1	Bacter_fungi
s__Faecalibacterium_prausnitzii	Termitomyces sp. J132	0.268098864974211	0.04	1	Bacter_fungi
s__Pseudobutyrivibrio_xylanivorans	Termitomyces sp. J132	0.372103197152825	0.02	1	Bacter_fungi
s__Roseburia_sp._NSJ-69	Termitomyces sp. J132	0.308636312224833	0	1	Bacter_fungi
s__Coprococcus_catus	Suillus bovinus	-0.241360788672438	0.03	-1	Bacter_fungi
s__Butyrivibrio_fibrisolvens	Aspergillus ustus	0.266628121821836	0.03	1	Bacter_fungi
s__Edwardsiella_anguillarum	Aspergillus ustus	-0.221868619307561	0.04	-1	Bacter_fungi
s__Pseudobutyrivibrio_xylanivorans	Aspergillus ustus	0.271406418343134	0.03	1	Bacter_fungi
s__Roseburia_hominis	Aspergillus ustus	0.22020045297475	0.04	1	Bacter_fungi
s__Roseburia_sp._NSJ-69	Aspergillus ustus	0.302520623052859	0.02	1	Bacter_fungi
s__Bifidobacterium_longum	Cadophora sp. DSE1049	0.26335955822432	0.03	1	Bacter_fungi
