Var1	Var2	cor	p	direction	new_column
s__Coprococcus_eutactus	Kluyveromyces marxianus	-0.24686135164213	0.04	-1	Bacter_fungi
s__Pseudobutyrivibrio_xylanivorans	Kluyveromyces marxianus	-0.205539590109163	0.04	-1	Bacter_fungi
s__Coprococcus_eutactus	Diutina rugosa	-0.204410335886738	0.01	-1	Bacter_fungi
s__Roseburia_intestinalis	Pichia kudriavzevii	-0.252699294196763	0.03	-1	Bacter_fungi
s__Roseburia_sp._NSJ-69	Pichia kudriavzevii	-0.231910037533575	0.03	-1	Bacter_fungi
s__Alistipes_shahii	Puccinia triticina	0.20820749366953	0.03	1	Bacter_fungi
s__Oscillibacter_sp._NSJ-62	Pseudozyma hubeiensis	0.224865207631052	0.04	1	Bacter_fungi
s__Ruminococcus_champanellensis	Pseudozyma hubeiensis	0.24399662672935	0.04	1	Bacter_fungi
s__Vescimonas_fastidiosa	Pseudozyma hubeiensis	0.327647610727029	0.02	1	Bacter_fungi
s__Christensenella_sp._Marseille-P3954	Paracoccidioides lutzii	0.215510590164132	0.02	1	Bacter_fungi
s__Vescimonas_coprocola	Saccharomyces eubayanus	-0.293168656114266	0.03	-1	Bacter_fungi
s__Roseburia_sp._NSJ-69	Peniophora sp. CONT	0.209441574527021	0.04	1	Bacter_fungi
s__Vescimonas_coprocola	Peniophora sp. CONT	-0.271730446633038	0.02	-1	Bacter_fungi
s__Vescimonas_fastidiosa	Peniophora sp. CONT	-0.249795749051619	0.04	-1	Bacter_fungi
Westerdykella ornata	Spathaspora passalidarum	0.276844679959728	0.04	1	fungi_fungi
s__Faecalibacterium_prausnitzii	Botrytis cinerea	0.294062422188184	0.03	1	Bacter_fungi
s__Butyrivibrio_fibrisolvens	Fusarium pseudograminearum	-0.269530799394307	0.04	-1	Bacter_fungi
s__Butyrivibrio_hungatei	Fusarium pseudograminearum	-0.299247964427801	0.02	-1	Bacter_fungi
s__Roseburia_sp._NSJ-69	Fusarium pseudograminearum	-0.285714575783553	0	-1	Bacter_fungi
s__Vescimonas_fastidiosa	Fusarium pseudograminearum	0.228157898168119	0.04	1	Bacter_fungi
s__Vescimonas_coprocola	Agaricus bisporus	-0.246081146665958	0.03	-1	Bacter_fungi
s__Vescimonas_fastidiosa	Agaricus bisporus	-0.234182661425531	0.03	-1	Bacter_fungi
s__Christensenella_sp._Marseille-P3954	Aspergillus flavus	-0.210693684134342	0.03	-1	Bacter_fungi
s__Alistipes_communis	Termitomyces sp. J132	-0.255538029432722	0.04	-1	Bacter_fungi
s__Ruminococcus_champanellensis	Termitomyces sp. J132	-0.242763726632507	0.04	-1	Bacter_fungi
s__Pseudobutyrivibrio_xylanivorans	Aspergillus ustus	0.200621513510594	0.04	1	Bacter_fungi
s__Alistipes_senegalensis	s__[Ruminococcus]_torques	-0.25782921544958	0.04	-1	Bacter_Bacter
s__Alistipes_shahii	s__[Ruminococcus]_torques	-0.207959552612219	0.03	-1	Bacter_Bacter
s__Anaerobutyricum_hallii	s__[Ruminococcus]_torques	0.416586623188157	0.04	1	Bacter_Bacter
s__Anaerostipes_hadrus	s__[Ruminococcus]_torques	0.411814238213849	0.02	1	Bacter_Bacter
s__Butyrivibrio_fibrisolvens	s__[Ruminococcus]_torques	0.358428490089528	0.02	1	Bacter_Bacter
s__Butyrivibrio_hungatei	s__[Ruminococcus]_torques	0.432983084510058	0.01	1	Bacter_Bacter
s__Coprococcus_catus	s__[Ruminococcus]_torques	0.433451780154397	0.02	1	Bacter_Bacter
s__Coprococcus_comes	s__[Ruminococcus]_torques	0.324732141364149	0.01	1	Bacter_Bacter
s__Dorea_longicatena	s__[Ruminococcus]_torques	0.456165037901076	0.04	1	Bacter_Bacter
s__Eubacterium_sp._MSJ-33	s__[Ruminococcus]_torques	0.22159044676945	0.04	1	Bacter_Bacter
s__Faecalibacillus_intestinalis	s__[Ruminococcus]_torques	0.239752200105275	0.04	1	Bacter_Bacter
s__Ligilactobacillus_ruminis	s__[Ruminococcus]_torques	0.265373347819569	0.02	1	Bacter_Bacter
s__Roseburia_intestinalis	s__[Ruminococcus]_torques	0.334209994065975	0.01	1	Bacter_Bacter
s__Roseburia_sp._NSJ-69	s__[Ruminococcus]_torques	0.40703075642328	0.01	1	Bacter_Bacter
s__Adlercreutzia_hattorii	s__Adlercreutzia_equolifaciens	0.878333813898236	0	1	Bacter_Bacter
s__Alistipes_communis	s__Adlercreutzia_equolifaciens	0.321316182531778	0.02	1	Bacter_Bacter
s__Starkeya_novella	s__Adlercreutzia_equolifaciens	0.26595046495284	0.02	1	Bacter_Bacter
s__Vescimonas_fastidiosa	s__Adlercreutzia_equolifaciens	0.212853914963982	0.04	1	Bacter_Bacter
s__Alistipes_communis	s__Adlercreutzia_hattorii	0.277712879370629	0.02	1	Bacter_Bacter
s__Haemophilus_parainfluenzae	s__Adlercreutzia_hattorii	-0.206978338791905	0.03	-1	Bacter_Bacter
s__Vescimonas_fastidiosa	s__Adlercreutzia_hattorii	0.21210303792148	0.02	1	Bacter_Bacter
s__Alistipes_dispar	s__Alistipes_communis	0.61838892454611	0.02	1	Bacter_Bacter
s__Alistipes_senegalensis	s__Alistipes_communis	0.59891870523301	0	1	Bacter_Bacter
s__Alistipes_shahii	s__Alistipes_communis	0.544359224478514	0.02	1	Bacter_Bacter
s__Butyrivibrio_hungatei	s__Alistipes_communis	-0.238675169612282	0.04	-1	Bacter_Bacter
s__Butyrivibrio_proteoclasticus	s__Alistipes_communis	-0.261380878918709	0.01	-1	Bacter_Bacter
s__Christensenella_sp._Marseille-P3954	s__Alistipes_communis	0.243608237145	0.03	1	Bacter_Bacter
s__Desulfovibrio_piger	s__Alistipes_communis	0.259051125954531	0.04	1	Bacter_Bacter
s__Odoribacter_splanchnicus	s__Alistipes_communis	0.275897034944244	0.04	1	Bacter_Bacter
s__Oscillibacter_sp._NSJ-62	s__Alistipes_communis	0.323017713536674	0.03	1	Bacter_Bacter
s__Pseudobutyrivibrio_xylanivorans	s__Alistipes_communis	-0.217537136847078	0.04	-1	Bacter_Bacter
s__Starkeya_novella	s__Alistipes_communis	0.31118358475867	0.02	1	Bacter_Bacter
s__Vescimonas_fastidiosa	s__Alistipes_communis	0.300301792644707	0.04	1	Bacter_Bacter
s__Alistipes_senegalensis	s__Alistipes_dispar	0.661316838884935	0.01	1	Bacter_Bacter
s__Alistipes_shahii	s__Alistipes_dispar	0.5636520171555	0	1	Bacter_Bacter
s__Butyrivibrio_hungatei	s__Alistipes_dispar	-0.238225634913147	0.03	-1	Bacter_Bacter
s__Christensenella_sp._Marseille-P3954	s__Alistipes_dispar	0.223663708832426	0.03	1	Bacter_Bacter
s__Coprococcus_catus	s__Alistipes_dispar	-0.221163417118863	0.02	-1	Bacter_Bacter
s__Coprococcus_comes	s__Alistipes_dispar	-0.216478231612184	0.04	-1	Bacter_Bacter
s__Odoribacter_splanchnicus	s__Alistipes_dispar	0.28718277711479	0.04	1	Bacter_Bacter
s__Pseudobutyrivibrio_xylanivorans	s__Alistipes_dispar	-0.219648569230544	0.04	-1	Bacter_Bacter
s__Alistipes_shahii	s__Alistipes_senegalensis	0.704189991289963	0.01	1	Bacter_Bacter
s__Blautia_massiliensis	s__Alistipes_senegalensis	-0.287843015291958	0.03	-1	Bacter_Bacter
s__Butyrivibrio_proteoclasticus	s__Alistipes_senegalensis	-0.264243422456335	0.04	-1	Bacter_Bacter
s__Coprococcus_catus	s__Alistipes_senegalensis	-0.220336577450011	0.02	-1	Bacter_Bacter
s__Coprococcus_eutactus	s__Alistipes_senegalensis	-0.208013774871191	0.04	-1	Bacter_Bacter
s__Desulfovibrio_piger	s__Alistipes_senegalensis	0.308221194235538	0.04	1	Bacter_Bacter
s__Edwardsiella_anguillarum	s__Alistipes_senegalensis	0.227814350781181	0.04	1	Bacter_Bacter
s__Odoribacter_splanchnicus	s__Alistipes_senegalensis	0.342998220629921	0.02	1	Bacter_Bacter
s__Oscillibacter_sp._NSJ-62	s__Alistipes_senegalensis	0.3612451177228	0.01	1	Bacter_Bacter
s__Roseburia_sp._NSJ-69	s__Alistipes_senegalensis	-0.266686891898266	0.02	-1	Bacter_Bacter
s__Starkeya_novella	s__Alistipes_senegalensis	0.246310974757353	0.04	1	Bacter_Bacter
s__Vescimonas_coprocola	s__Alistipes_senegalensis	0.236940999626744	0.04	1	Bacter_Bacter
