"","KO","KO_ID","fc","auroc","p.val","p.adj","cohen.d","ID","L1","id1","L2","id2","L3","gene","protein","EC"
"1","K00001","K00001",0.042288023760032,0.59478587256365,9.56782827027747e-06,6.16100063250814e-05,-0.0166116370839104,"A09100","Metabolism",9108,"Metabolism of cofactors and vitamins",830,"Retinol metabolism [PATH:ko00830","E1.1.1.1, adh"," alcohol dehydrogenase ","EC:1.1.1.1"
"10","K00002","K00002",0.000155173551627902,0.529522603596678,0.0026049156257111,0.0081689369113637,0.0932822532361028,"A09100","Metabolism",9101,"Carbohydrate metabolism",53,"Ascorbate and aldarate metabolism [PATH:ko00053","AKR1A1, adh"," alcohol dehydrogenase (NADP+) ","EC:1.1.1.2"
"18","K00003","K00003",0.165798585489285,0.721095434058397,5.40721892695472e-25,2.57260027347571e-23,0.711137009825108,"A09100","Metabolism",9105,"Amino acid metabolism",260,"Glycine, serine and threonine metabolism [PATH:ko00260","hom"," homoserine dehydrogenase ","EC:1.1.1.3"
"21","K00008","K00008",0.116324691334403,0.640098584543029,6.03784866980884e-11,7.19186380898833e-10,0.452254745396588,"A09100","Metabolism",9101,"Carbohydrate metabolism",40,"Pentose and glucuronate interconversions [PATH:ko00040","SORD, gutB"," L-iditol 2-dehydrogenase ","EC:1.1.1.14"
"23","K00010","K00010",0.0162845693618495,0.549902772124994,0.0197784667978918,0.0499016710785597,0.0108836986225025,"A09100","Metabolism",9101,"Carbohydrate metabolism",562,"Inositol phosphate metabolism [PATH:ko00562","iolG"," myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase ","EC:1.1.1.18"
"25","K00012","K00012",-0.087491195720664,0.36278056648427,1.47130529981609e-10,1.68501897197645e-09,-0.444612883949359,"A09100","Metabolism",9107,"Glycan biosynthesis and metabolism",541,"O-Antigen nucleotide sugar biosynthesis [PATH:ko00541","UGDH, ugd"," UDPglucose 6-dehydrogenase ","EC:1.1.1.22"
"29","K00016","K00016",0.0598087484893511,0.571586849364627,0.000828192400663506,0.00296327027414025,0.151348062851029,"A09100","Metabolism",9101,"Carbohydrate metabolism",640,"Propanoate metabolism [PATH:ko00640","LDH, ldh"," L-lactate dehydrogenase ","EC:1.1.1.27"
"37","K00018","K00018",-0.0556151979253408,0.415317535687906,7.6605655005002e-05,0.000389388695709186,-0.311629836851283,"A09100","Metabolism",9102,"Energy metabolism",680,"Methane metabolism [PATH:ko00680","hprA"," glycerate dehydrogenase ","EC:1.1.1.29"
"40","K00019","K00019",-0.00263454558455865,0.425752573900722,0.000476285100565965,0.00183081705785421,-0.153899113629834,"A09100","Metabolism",9101,"Carbohydrate metabolism",650,"Butanoate metabolism [PATH:ko00650","BDH, bdhA"," 3-hydroxybutyrate dehydrogenase ","EC:1.1.1.30"
"41","K00021","K00021",0.00594009179806618,0.582688916022249,5.32736383033768e-06,3.64766704369996e-05,0.106913400816399,"A09150","Organismal Systems",9154,"Digestive system",4976,"Bile secretion [PATH:ko04976","HMGCR"," hydroxymethylglutaryl-CoA reductase (NADPH) ","EC:1.1.1.34"
"44","K00024","K00024",-0.155738369631271,0.273044513785255,0,0,-0.72447877475171,"A09100","Metabolism",9105,"Amino acid metabolism",270,"Cysteine and methionine metabolism [PATH:ko00270","mdh"," malate dehydrogenase ","EC:1.1.1.37"
