donor_origin_clust,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_fisher,diversity_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance,S1_or_S4
Donor_origin_clust1,5357,5596.489764,7.352402362,0.863990033,3.068127528,632.0749342,4,0.033696792,0.357334099,0.001372485,0.280929401,0.042653692,0.332701642,0.419545664,1008073,0.332701642,0.136009967,0.867908201,0.991781287,2.061422802,0.074525712,0.073188731,S1
Donor_origin_clust1,6082,6235.060538,4.79350551,0.791384406,2.935846044,737.1498763,2,0.044192278,0.336946643,0.000788146,0.279206724,0.064055829,0.42275671,0.572789852,1193342,0.42275671,0.208615594,0.724500073,0.983947466,2.06142293,0.106021299,0.111331699,S4
Donor_origin_clust1,6293,6358.666667,12.93730396,0.922704143,3.346927332,641.1598331,5,0.029174709,0.38262872,0.002055825,0.248285765,0.038139355,0.188900336,0.313164346,2217107,0.188900336,0.077295857,0.7454992,0.991685308,2.06142187,0.064728769,0.092917355,S4
Donor_origin_clust1,2909,3159.691748,4.776401627,0.790637371,2.199138722,274.4603444,2,0.376106835,0.275734549,0.001641939,0.159369405,0.033910934,0.330213115,0.5774805,3633642,0.330213115,0.209362629,0.90095793,0.998161759,2.061421837,0.048439966,0.052467255,S1
Donor_origin_clust1,2753,3131.293103,6.018501637,0.833845688,2.387641061,261.98571,2,0.397444668,0.301452836,0.002186161,0.179541646,0.029075119,0.270447552,0.534740054,2594210,0.270447552,0.166154312,0.925684652,0.998406489,2.061419832,0.034048613,0.041496265,S1
Donor_origin_clust1,5469,5769.683566,15.07915397,0.933683282,3.547687708,630.3226645,5,0.059508605,0.412193459,0.002757205,0.236735427,0.049612052,0.149998742,0.277002271,554289,0.149998742,0.066316718,0.749340986,0.990527136,2.061422641,0.082689834,0.099148619,S4
Donor_origin_clust1,4450,4718.511041,9.260474765,0.892014176,2.796558471,410.000971,4,0.315691202,0.332897496,0.002081006,0.204898618,0.022876576,0.246231975,0.364761284,5221482,0.246231975,0.107985824,0.880101332,0.997760252,2.061420268,0.039807428,0.044552273,S1
Donor_origin_clust1,5807,5941.761111,8.038226647,0.875594451,3.001587192,636.4247736,3,0.029603495,0.346330882,0.001384231,0.265201238,0.038119866,0.245501289,0.462962119,1433620,0.245501289,0.124405549,0.659498435,0.992980806,2.061422653,0.076137046,0.056531466,S4
Donor_origin_clust1,6511,6563.556485,11.94100505,0.916254955,3.449533117,694.4362761,5,0.033837372,0.392829469,0.001833974,0.262078655,0.049914585,0.209581843,0.353298506,1717405,0.209581843,0.083745045,0.820449022,0.987381133,2.061421552,0.087553799,0.088817705,S4
Donor_origin_clust1,6352,6461.102473,10.12507095,0.90123526,2.969175151,605.2229814,4,0.010449679,0.339081445,0.001593997,0.236761656,0.027692326,0.19137521,0.358726708,4186415,0.19137521,0.09876474,0.815537889,0.995036192,2.061420642,0.059370993,0.041493493,S1
Donor_origin_clust1,6072,6181.89,12.70329952,0.921280294,3.339295788,628.5071418,6,0.015039745,0.383322908,0.002092111,0.23849431,0.037593009,0.216013405,0.30254863,2130478,0.216013405,0.078719706,0.625552992,0.992904351,2.061421765,0.065759499,0.056987571,S4
Donor_origin_clust1,5628,5823.913447,13.36970686,0.925204044,3.187031768,596.9170054,5,0.031578678,0.369061235,0.00237557,0.242302537,0.034240753,0.13482941,0.263326253,1000889,0.13482941,0.074795956,0.758645834,0.994461442,2.061422068,0.063198091,0.03817227,S1
Donor_origin_clust1,5417,5811.003783,19.11887246,0.94769566,3.816705922,702.6512492,7,0.060810423,0.443942524,0.003529421,0.273667852,0.059027897,0.13964935,0.241819946,218636,0.13964935,0.05230434,0.642449861,0.986583825,2.06142299,0.098892634,0.113895761,S4
Donor_origin_clust1,6314,6451.836735,13.11859876,0.923772347,3.405114739,673.1880335,5,0.021144882,0.389132637,0.0020777,0.244833243,0.042812169,0.155341642,0.305819905,1238069,0.155341642,0.076227653,0.834332354,0.990490139,2.061421757,0.078772142,0.082103394,S1
Donor_origin_clust1,5643,5849.336414,17.9452364,0.944274905,4.208577238,788.483332,6,0.124285489,0.487206977,0.003180088,0.278880608,0.108173257,0.158516012,0.264594743,160205,0.158516012,0.055725095,0.687001004,0.970145964,2.061423036,0.166883853,0.214648916,S4
Donor_origin_clust1,6077,6225.641026,2.691328281,0.628436261,2.385091095,690.4302316,1,0.036765957,0.273762415,0.000442871,0.257324279,0.057695324,0.604550974,0.645239505,2773591,0.604550974,0.371563739,0.837020061,0.98699732,2.061422964,0.096229544,0.110821118,S1
Donor_origin_clust1,3841,4046.082495,7.201594657,0.861141865,2.586106707,390.6688539,3,0.35109792,0.313335004,0.001874927,0.216173205,0.033510711,0.256754718,0.437858515,1867346,0.256754718,0.138858135,0.925296846,0.997128613,2.061421834,0.057000948,0.050696842,S1
Donor_origin_clust1,2397,2803.868762,6.339235863,0.842252281,2.683917077,271.2487455,3,0.584190606,0.344889014,0.002644654,0.199475921,0.047467882,0.350551926,0.446120233,654451,0.350551926,0.157747719,0.905960954,0.997178568,2.061421867,0.060988818,0.041707822,S4
Donor_origin_clust1,3156,3675.547237,10.86194648,0.90793547,2.837131311,307.5723239,4,0.19506539,0.352129818,0.003441681,0.181269206,0.030923088,0.151240835,0.281087437,1330140,0.151240835,0.09206453,0.910207875,0.997730901,2.061420231,0.04306192,0.044152786,S1
Donor_origin_clust1,4488,4972.283969,18.48050692,0.94588893,3.515508697,483.392824,7,0.4647158,0.418056937,0.00411776,0.195449466,0.041750643,0.12774532,0.222811453,664902,0.12774532,0.05411107,0.762689526,0.994559054,2.061420265,0.06837918,0.146834437,S4
